Timestamp,TXSpot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
1.29918,2,28,-64,1,0,0,0,0,0,0,0,0,0,-14,-28,-11,-29,-11,-27,-14,-28,-12,-28,-10,-27,-9,-26,-5,-27,-12,-27,-9,-27,-9,-27,-7,-27,-10,-31,-11,-30,-4,-28,-4,-28,-7,-27,-6,-27,-5,-24,-4,-22,-4,-25,-3,-23,-5,-23,-5,-23,-7,-24,-7,-22,0,0,-6,-21,-7,-20,-8,-21,-6,-20,-8,-19,-8,-19,-9,-19,-8,-19,-9,-18,-10,-18,-11,-18,-11,-18,-11,-17,-12,-18,-11,-18,-13,-18,-12,-17,-13,-17,-13,-18,-13,-17,-14,-18,-13,-17,-13,-17,-14,-17,-13,-16,-14,-17,0,0,0,0,0,0,0,0,0,0
1.30668,2,-99,-48,9,0,0,0,0,0,0,0,0,0,-25,-12,-24,-14,-25,-13,-25,-14,-23,-14,-23,-15,-22,-16,-21,-16,-21,-16,-20,-16,-22,-15,-21,-16,-21,-16,-20,-15,-19,-15,-20,-15,-19,-15,-17,-14,-18,-15,-17,-15,-17,-15,-17,-14,-16,-13,-18,-13,-18,-12,-17,-13,0,0,-16,-11,-17,-11,-17,-10,-17,-10,-17,-10,-17,-10,-17,-9,-17,-9,-17,-8,-18,-7,-18,-7,-17,-6,-17,-6,-18,-6,-18,-6,-19,-6,-19,-5,-19,-5,-19,-5,-19,-5,-19,-5,-18,-5,-19,-4,-20,-4,-19,-3,-20,-4,0,0,0,0,0,0,0,0,0,0
1.32183,2,-121,112,8,0,0,0,0,0,0,0,0,0,26,14,26,14,25,15,26,16,24,16,24,17,23,17,23,17,22,16,21,17,22,17,21,17,21,18,19,17,18,17,19,17,18,17,17,16,17,17,18,16,17,15,17,15,15,15,17,15,17,14,17,14,0,0,17,13,16,12,17,12,16,11,17,11,17,10,17,9,17,9,17,8,17,9,18,9,18,8,18,7,18,7,18,7,19,7,19,6,20,6,20,6,19,6,20,5,20,5,19,6,20,5,20,5,19,5,0,0,0,0,0,0,0,0,0,0
1.33517,2,-122,-31,23,0,0,0,0,0,0,0,0,0,-12,24,-13,24,-13,24,-14,24,-15,22,-16,22,-16,21,-16,20,-16,20,-16,19,-16,20,-16,19,-16,19,-16,18,-16,17,-16,18,-15,17,-15,16,-15,16,-15,16,-15,15,-14,15,-14,14,-13,16,-13,16,-13,16,0,0,-12,14,-11,15,-11,15,-10,15,-10,15,-10,15,-9,15,-9,15,-8,15,-8,16,-8,16,-7,15,-6,16,-7,16,-6,16,-6,17,-6,17,-6,17,-6,18,-6,17,-6,17,-5,17,-5,17,-5,18,-5,17,-5,17,0,0,0,0,0,0,0,0,0,0
1.3621,2,-122,-31,23,0,0,0,0,0,0,0,0,0,-13,-24,-12,-24,-12,-25,-12,-25,-10,-24,-10,-25,-9,-25,-8,-24,-8,-24,-7,-25,-8,-25,-8,-25,-7,-24,-6,-24,-6,-23,-6,-23,-5,-22,-5,-21,-5,-22,-4,-21,-5,-21,-5,-21,-5,-19,-6,-20,-6,-19,-6,-19,0,0,-6,-17,-7,-18,-7,-17,-7,-17,-8,-17,-8,-17,-8,-16,-8,-16,-8,-15,-9,-15,-10,-15,-9,-14,-10,-14,-10,-14,-11,-14,-11,-14,-11,-14,-11,-15,-12,-14,-12,-14,-12,-14,-12,-14,-12,-14,-13,-14,-12,-13,-12,-13,0,0,0,0,0,0,0,0,0,0
1.38359,2,82,-96,4,0,0,0,0,0,0,0,0,0,-53,15,-43,13,-57,9,-81,4,-56,10,-60,11,-62,2,-49,13,-63,4,-69,10,-89,8,-104,8,-79,4,-73,2,-71,4,-90,-11,-86,-1,-54,12,-71,4,-64,1,-57,6,-79,4,-43,9,-70,2,-93,6,-85,0,0,0,-96,5,-93,15,-104,13,-92,9,-70,27,-94,17,-91,6,-71,12,-83,20,-80,3,-96,16,-54,16,-68,30,-86,9,-81,6,-96,14,-93,18,-83,19,-87,16,-69,19,-83,20,-83,20,-61,17,-75,20,-68,31,-70,20,0,0,0,0,0,0,0,0,0,0
1.41326,2,82,-96,4,0,0,0,0,0,0,0,0,0,0,-21,1,-22,1,-21,1,-22,2,-21,3,-21,3,-21,3,-21,4,-21,5,-20,5,-20,4,-20,5,-20,6,-20,6,-20,6,-19,6,-18,5,-18,5,-18,6,-18,5,-17,6,-17,5,-17,5,-17,5,-17,4,-17,0,0,4,-16,4,-16,3,-16,3,-16,3,-16,3,-16,2,-16,1,-15,2,-16,1,-15,1,-16,0,-15,0,-15,0,-16,0,-16,0,-16,-1,-16,-1,-16,-1,-16,-1,-16,-1,-16,-2,-15,-1,-16,-2,-16,-2,-16,-2,-16,0,0,0,0,0,0,0,0,0,0
1.83202,2,82,-96,4,0,0,0,0,0,0,0,0,0,-20,-4,-20,-4,-20,-4,-20,-5,-20,-6,-19,-6,-19,-7,-18,-7,-18,-7,-18,-7,-18,-7,-18,-7,-17,-7,-17,-7,-16,-7,-17,-6,-15,-7,-15,-6,-15,-6,-15,-7,-14,-6,-14,-6,-14,-6,-14,-5,-14,-5,-14,-5,0,0,-13,-4,-13,-3,-13,-3,-13,-3,-13,-2,-13,-2,-12,-2,-12,-2,-12,-1,-13,-1,-13,0,-12,0,-12,1,-12,0,-13,1,-12,1,-13,1,-12,2,-13,2,-13,2,-12,2,-12,2,-12,1,-13,2,-13,3,-15,0,0,0,0,0,0,0,0,0,0,0
2.33648,2,82,-96,4,0,0,0,0,0,0,0,0,0,-19,18,-19,18,-21,18,-20,17,-21,16,-20,15,-21,15,-21,14,-21,14,-22,13,-22,14,-22,13,-21,12,-21,11,-20,11,-21,12,-20,10,-20,9,-19,10,-19,10,-19,9,-19,10,-17,10,-18,10,-17,10,-17,9,0,0,-15,9,-15,10,-15,10,-14,11,-14,10,-13,10,-12,11,-12,11,-11,11,-12,12,-11,12,-11,12,-10,11,-10,13,-9,13,-9,13,-9,14,-8,14,-8,15,-8,15,-8,15,-8,16,-8,16,-8,16,-7,16,-7,16,0,0,0,0,0,0,0,0,0,0
2.39277,2,82,-96,4,0,0,0,0,0,0,0,0,0,-8,-75,-12,-73,-7,-95,4,-91,-7,-85,-7,-77,10,-89,7,-70,10,-87,8,-77,17,-91,21,-83,22,-85,8,-76,7,-79,15,-88,12,-72,1,-69,4,-74,10,-75,9,-65,12,-71,6,-65,9,-74,7,-75,11,-74,0,0,2,-71,1,-67,-4,-71,-12,-64,-8,-63,-8,-64,-8,-70,-5,-58,-15,-66,-1,-64,-6,-69,-11,-60,-16,-59,-11,-54,-11,-58,-15,-62,-19,-60,-17,-58,-20,-55,-24,-60,-21,-58,-26,-56,-25,-60,-25,-59,-27,-56,-21,-60,0,0,0,0,0,0,0,0,0,0
