real_timestamp,?t,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
2.1546,-,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,-18,28.42534081,22,-16,27.20294102,22,-16,27.20294102,22,-14,26.07680962,22,-11,24.59674775,21,-9,22.84731932,19,-10,21.47091055,18,-7,19.31320792,17,-8,18.78829423,16,-6,17.08800749,15,-7,16.55294536,13,-5,13.92838828,11,-5,12.08304597,12,-5,13,10,-6,11.66190379,8,-7,10.63014581,7,-7,9.899494937,8,-7,10.63014581,7,-8,10.63014581,6,-8,10,7,-10,12.20655562,5,-10,11.18033989,6,-9,10.81665383,5,-9,10.29563014,5,-10,11.18033989,5,-11,12.08304597,0,0,0,4,-11,11.70469991,3,-11,11.40175425,3,-10,10.44030651,3,-11,11.40175425,2,-10,10.19803903,2,-11,11.18033989,1,-10,10.04987562,1,-9,9.055385138,0,-9,9,-1,-9,9.055385138,-2,-9,9.219544457,-3,-8,8.544003745,-5,-8,9.433981132,-6,-9,10.81665383,-7,-10,12.20655562,-9,-9,12.72792206,-11,-10,14.86606875,-11,-10,14.86606875,-14,-10,17.20465053,-14,-12,18.43908891,-16,-12,20,-16,-12,20,-18,-14,22.8035085,-19,-14,23.60084744,-19,-17,25.49509757,-20,-18,26.90724809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16138,0.00678,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,25,33.9705755,23,23,32.52691193,24,31,39.20459157,17,26,31.06444913,14,22,26.07680962,16,23,28.01785145,14,25,28.65309756,12,21,24.18677324,11,21,23.70653918,10,20,22.36067977,10,18,20.59126028,10,17,19.72308292,6,14,15.23154621,10,12,15.62049935,10,11,14.86606875,9,11,14.2126704,8,10,12.80624847,13,10,16.40121947,11,7,13.03840481,10,9,13.45362405,12,6,13.41640786,14,6,15.23154621,12,6,13.41640786,14,5,14.86606875,14,6,15.23154621,15,5,15.8113883,0,0,0,16,4,16.4924225,13,2,13.15294644,13,2,13.15294644,11,3,11.40175425,10,2,10.19803903,15,-2,15.13274595,9,6,10.81665383,11,-5,12.08304597,16,7,17.4642492,15,8,17,6,-3,6.708203932,7,-7,9.899494937,5,-7,8.602325267,5,-7,8.602325267,10,-8,12.80624847,7,-11,13.03840481,9,-15,17.49285568,9,-17,19.23538406,8,-15,17,10,-21,23.2594067,8,-20,21.54065923,11,-24,26.40075756,11,-25,27.31300057,12,-25,27.73084925,15,-26,30.01666204,14,-28,31.30495168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16683,0.00545,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,-2,23,23.08679276,-3,24,24.18677324,-5,23,23.53720459,-5,22,22.56102835,-6,19,19.92485885,-8,19,20.61552813,-7,17,18.38477631,-7,16,17.4642492,-7,14,15.65247584,-7,13,14.76482306,-6,13,14.31782106,-6,11,12.52996409,-5,12,13,-4,10,10.77032961,-4,9,9.848857802,-2,10,10.19803903,-2,9,9.219544457,-1,8,8.062257748,-1,9,9.055385138,1,9,9.055385138,0,8,8,1,9,9.055385138,1,8,8.062257748,2,9,9.219544457,3,9,9.486832981,2,9,9.219544457,0,0,0,4,9,9.848857802,3,8,8.544003745,4,8,8.94427191,3,7,7.615773106,3,8,8.544003745,3,8,8.544003745,4,8,8.94427191,4,6,7.211102551,4,5,6.403124237,5,5,7.071067812,6,5,7.810249676,6,4,7.211102551,7,2,7.280109889,8,2,8.246211251,8,1,8.062257748,11,0,11,11,0,11,12,-1,12.04159458,14,-1,14.03566885,13,-1,13.03840481,16,-1,16.03121954,17,-2,17.11724277,17,-1,17.02938637,20,-1,20.02498439,20,-1,20.02498439,21,-1,21.02379604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1819,0.01507,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,10,42.20189569,38,12,39.84971769,37,14,39.56008089,34,14,36.76955262,31,14,34.0147027,28,16,32.24903099,26,18,31.6227766,24,17,29.41088234,22,15,26.62705391,20,17,26.2488095,21,14,25.23885893,18,14,22.8035085,16,12,20,16,10,18.86796226,15,7,16.55294536,15,8,17,16,5,16.76305461,16,4,16.4924225,14,1,14.03566885,14,1,14.03566885,16,2,16.1245155,12,1,12.04159458,16,1,16.03121954,16,-1,16.03121954,17,-1,17.02938637,15,-1,15.03329638,0,0,0,15,-2,15.13274595,15,1,15.03329638,15,-1,15.03329638,13,-4,13.60147051,19,0,19,16,-2,16.1245155,13,-3,13.34166406,19,-12,22.47220505,10,-7,12.20655562,11,-6,12.52996409,9,-12,15,10,-7,12.20655562,7,-10,12.20655562,6,-12,13.41640786,6,-14,15.23154621,5,-16,16.76305461,5,-19,19.6468827,5,-19,19.6468827,6,-21,21.84032967,4,-23,23.34523506,7,-26,26.92582404,4,-26,26.30589288,6,-31,31.57530681,4,-32,32.24903099,7,-33,33.73425559,6,-35,35.51056181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19549,0.01359,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16.97056275,20,16,25.61249695,12,15,19.20937271,14,17,22.02271555,17,10,19.72308292,9,11,14.2126704,12,17,20.80865205,14,8,16.1245155,7,15,16.55294536,3,13,13.34166406,12,9,15,3,13,13.34166406,4,11,11.70469991,1,8,8.062257748,5,8,9.433981132,3,10,10.44030651,5,9,10.29563014,3,7,7.615773106,4,7,8.062257748,4,7,8.062257748,4,7,8.062257748,6,6,8.485281374,5,6,7.810249676,6,6,8.485281374,5,7,8.602325267,7,8,10.63014581,0,0,0,5,5,7.071067812,5,7,8.602325267,6,6,8.485281374,6,5,7.810249676,5,6,7.810249676,6,5,7.810249676,6,6,8.485281374,5,5,7.071067812,4,5,6.403124237,5,4,6.403124237,5,4,6.403124237,6,1,6.08276253,6,2,6.32455532,6,2,6.32455532,9,0,9,8,0,8,9,0,9,11,-1,11.04536102,11,-1,11.04536102,12,-2,12.16552506,13,-1,13.03840481,14,-2,14.14213562,15,-1,15.03329638,17,0,17,18,0,18,19,1,19.02629759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21914,0.02365,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,9,-13,15.8113883,10,-12,15.62049935,9,-12,15,9,-10,13.45362405,9,-10,13.45362405,10,-8,12.80624847,10,-7,12.20655562,9,-7,11.40175425,9,-7,11.40175425,8,-6,10,8,-5,9.433981132,8,-5,9.433981132,6,-5,7.810249676,7,-4,8.062257748,6,-5,7.810249676,5,-5,7.071067812,5,-5,7.071067812,4,-5,6.403124237,4,-5,6.403124237,4,-6,7.211102551,3,-6,6.708203932,4,-6,7.211102551,3,-5,5.830951895,2,-7,7.280109889,2,-5,5.385164807,2,-7,7.280109889,0,0,0,3,-6,6.708203932,2,-7,7.280109889,0,-7,7,3,-5,5.830951895,0,-6,6,0,-7,7,0,-5,5,1,-5,5.099019514,1,-6,6.08276253,-2,-5,5.385164807,1,-4,4.123105626,-1,-5,5.099019514,0,-5,5,-3,-6,6.708203932,-3,-5,5.830951895,-3,-3,4.242640687,-5,-6,7.810249676,-5,-6,7.810249676,-6,-5,7.810249676,-7,-7,9.899494937,-7,-6,9.219544457,-8,-7,10.63014581,-9,-8,12.04159458,-9,-8,12.04159458,-9,-9,12.72792206,-9,-9,12.72792206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.225,0.00586,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,12,-41,42.72001873,13,-38,40.16217126,13,-37,39.2173431,16,-34,37.57658846,16,-32,35.77708764,18,-30,34.98571137,18,-27,32.44996148,17,-25,30.23243292,17,-23,28.60069929,17,-22,27.80287755,16,-21,26.40075756,16,-17,23.34523506,13,-17,21.40093456,12,-16,20,10,-16,18.86796226,9,-17,19.23538406,8,-16,17.88854382,6,-15,16.15549442,5,-16,16.76305461,4,-17,17.4642492,3,-16,16.2788206,3,-17,17.2626765,3,-16,16.2788206,2,-17,17.11724277,1,-18,18.02775638,1,-17,17.02938637,0,0,0,0,-16,16,0,-17,17,-1,-17,17.02938637,-1,-16,16.03121954,-1,-16,16.03121954,-2,-17,17.11724277,-4,-14,14.56021978,-3,-14,14.31782106,-3,-13,13.34166406,-5,-12,13,-6,-12,13.41640786,-7,-11,13.03840481,-7,-8,10.63014581,-11,-10,14.86606875,-11,-10,14.86606875,-14,-8,16.1245155,-15,-8,17,-17,-8,18.78829423,-19,-7,20.24845673,-23,-7,24.04163056,-24,-8,25.29822128,-25,-8,26.2488095,-27,-9,28.46049894,-30,-10,31.6227766,-30,-9,31.32091953,-34,-11,35.73513677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.24287,0.01787,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5,16.76305461,-16,-5,16.76305461,-14,-5,14.86606875,-14,-8,16.1245155,-13,-6,14.31782106,-12,-8,14.4222051,-11,-8,13.60147051,-11,-8,13.60147051,-9,-7,11.40175425,-8,-6,10,-9,-7,11.40175425,-9,-6,10.81665383,-7,-6,9.219544457,-7,-5,8.602325267,-7,-4,8.062257748,-8,-3,8.544003745,-7,-4,8.062257748,-6,-2,6.32455532,-6,-2,6.32455532,-8,-2,8.246211251,-6,-2,6.32455532,-6,-1,6.08276253,-7,0,7,-6,-1,6.08276253,-7,-2,7.280109889,-8,0,8,0,0,0,-7,1,7.071067812,-7,0,7,-7,1,7.071067812,-6,1,6.08276253,-7,0,7,-7,1,7.071067812,-6,1,6.08276253,-5,1,5.099019514,-5,2,5.385164807,-4,3,5,-5,3,5.830951895,-5,3,5.830951895,-3,3,4.242640687,-4,5,6.403124237,-2,4,4.472135955,-2,5,5.385164807,-2,5,5.385164807,-2,6,6.32455532,-1,7,7.071067812,0,8,8,-1,9,9.055385138,0,9,9,0,10,10,0,10,10,0,11,11,-1,12,12.04159458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.69045,0.44758,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,-18,21.09502311,12,-19,22.47220505,12,-17,20.80865205,14,-18,22.8035085,13,-17,21.40093456,14,-16,21.26029163,16,-14,21.26029163,14,-12,18.43908891,14,-12,18.43908891,14,-12,18.43908891,14,-13,19.10497317,14,-12,18.43908891,13,-12,17.69180601,13,-12,17.69180601,13,-11,17.02938637,12,-11,16.2788206,12,-10,15.62049935,11,-10,14.86606875,11,-11,15.55634919,10,-10,14.14213562,11,-11,15.55634919,10,-10,14.14213562,9,-10,13.45362405,9,-10,13.45362405,9,-11,14.2126704,8,-11,13.60147051,0,0,0,8,-10,12.80624847,7,-11,13.03840481,7,-11,13.03840481,6,-10,11.66190379,7,-11,13.03840481,6,-11,12.52996409,6,-10,11.66190379,5,-10,11.18033989,5,-9,10.29563014,4,-9,9.848857802,4,-9,9.848857802,3,-9,9.486832981,3,-10,10.44030651,3,-9,9.486832981,2,-8,8.246211251,1,-9,9.055385138,1,-8,8.062257748,1,-8,8.062257748,0,-7,7,-1,-7,7.071067812,-2,-7,7.280109889,-2,-7,7.280109889,-3,-6,6.708203932,-4,-6,7.211102551,-4,-6,7.211102551,-5,-6,7.810249676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.02653,0.33608,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-22,5,22.56102835,-21,3,21.21320344,-22,3,22.20360331,-23,2,23.08679276,-21,1,21.02379604,-22,0,22,-21,0,21,-20,-2,20.09975124,-20,-1,20.02498439,-19,-1,19.02629759,-19,-2,19.10497317,-18,-2,18.11077028,-18,-2,18.11077028,-18,-2,18.11077028,-17,-2,17.11724277,-17,-1,17.02938637,-16,-1,16.03121954,-15,-3,15.29705854,-16,-1,16.03121954,-15,-1,15.03329638,-14,0,14,-15,0,15,-14,-1,14.03566885,-14,0,14,-15,0,15,-14,0,14,0,0,0,-13,1,13.03840481,-13,2,13.15294644,-13,2,13.15294644,-13,2,13.15294644,-12,1,12.04159458,-12,2,12.16552506,-11,3,11.40175425,-11,2,11.18033989,-10,2,10.19803903,-11,3,11.40175425,-10,3,10.44030651,-9,3,9.486832981,-9,3,9.486832981,-8,4,8.94427191,-7,3,7.615773106,-7,4,8.062257748,-6,5,7.810249676,-6,4,7.211102551,-5,4,6.403124237,-5,5,7.071067812,-5,5,7.071067812,-4,4,5.656854249,-3,5,5.830951895,-2,5,5.385164807,-1,6,6.08276253,-1,6,6.08276253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
