real_timestamp,Delta t,Zone,R1,I1,Mag1,Phase1,R2,I2,Mag2,Phase2,R3,I3,Mag3,Phase3,R4,I4,Mag4,Phase4,R5,I5,Mag5,Phase5,R6,I6,Mag6,Phase6,R7,I7,Mag7,Phase7,R8,I8,Mag8,Phase8,R9,I9,Mag9,Phase9,R10,I10,Mag10,Phase10,R11,I11,Mag11,Phase11,R12,I12,Mag12,Phase12,R13,I13,Mag13,Phase13,R14,I14,Mag14,Phase14,R15,I15,Mag15,Phase15,R16,I16,Mag16,Phase16,R17,I17,Mag17,Phase17,R18,I18,Mag18,Phase18,R19,I19,Mag19,Phase19,R20,I20,Mag20,Phase20,R21,I21,Mag21,Phase21,R22,I22,Mag22,Phase22,R23,I23,Mag23,Phase23,R24,I24,Mag24,Phase24,R25,I25,Mag25,Phase25,R26,I26,Mag26,Phase26,R27,I27,Mag27,Phase27,R28,I28,Mag28,Phase28,R29,I29,Mag29,Phase29,R30,I30,Mag30,Phase30,R31,I31,Mag31,Phase31,R32,I32,Mag32,Phase32,R33,I33,Mag33,Phase33,R34,I34,Mag34,Phase34,R35,I35,Mag35,Phase35,R36,I36,Mag36,Phase36,R37,I37,Mag37,Phase37,R38,I38,Mag38,Phase38,R39,I39,Mag39,Phase39,R40,I40,Mag40,Phase40,R41,I41,Mag41,Phase41,R42,I42,Mag42,Phase42,R43,I43,Mag43,Phase43,R44,I44,Mag44,Phase44,R45,I45,Mag45,Phase45,R46,I46,Mag46,Phase46,R47,I47,Mag47,Phase47,R48,I48,Mag48,Phase48,R49,I49,Mag49,Phase49,R50,I50,Mag50,Phase50,R51,I51,Mag51,Phase51,R52,I52,Mag52,Phase52,R53,I53,Mag53,Phase53,R54,I54,Mag54,Phase54,R55,I55,Mag55,Phase55,R56,I56,Mag56,Phase56,R57,I57,Mag57,Phase57,R58,I58,Mag58,Phase58,R59,I59,Mag59,Phase59,R60,I60,Mag60,Phase60,R61,I61,Mag61,Phase61,R62,I62,Mag62,Phase62,R63,I63,Mag63,Phase63,R64,I64,Mag64,Phase64
1.10497,-,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,23,27,35.4682957,49.57392126,22,29,36.40054945,52.81529355,21,28,35,53.13010235,21,30,36.61966685,55.0079798,19,29,34.66987165,56.76828893,18,30,34.98571137,59.03624347,18,30,34.98571137,59.03624347,17,29,33.61547263,59.62087399,16,29,33.12099032,61.11341823,15,29,32.64965543,62.65012422,15,29,32.64965543,62.65012422,14,28,31.30495168,63.43494882,14,27,30.41381265,62.59242456,13,26,29.06888371,63.43494882,12,26,28.63564213,65.22485943,13,25,28.17800561,62.52556837,12,24,26.83281573,63.43494882,11,23,25.49509757,64.44003483,11,22,24.59674775,63.43494882,11,21,23.70653918,62.35402464,10,20,22.36067977,63.43494882,11,19,21.9544984,59.93141718,10,18,20.59126028,60.9453959,11,17,20.24845673,57.09475708,11,16,19.41648784,55.49147701,11,15,18.60107524,53.74616226,0,0,0,-,11,13,17.02938637,49.76364169,11,12,16.2788206,47.48955292,11,11,15.55634919,45,10,10,14.14213562,45,10,9,13.45362405,41.9872125,11,8,13.60147051,36.02737339,11,7,13.03840481,32.47119229,10,6,11.66190379,30.96375653,10,5,11.18033989,26.56505118,10,4,10.77032961,21.80140949,10,4,10.77032961,21.80140949,10,3,10.44030651,16.69924423,9,2,9.219544457,12.52880771,10,1,10.04987562,5.710593137,9,1,9.055385138,6.340191746,9,0,9,0,9,-1,9.055385138,-6.340191746,8,-1,8.062257748,-7.125016349,9,-2,9.219544457,-12.52880771,8,-2,8.246211251,-14.03624347,7,-2,7.280109889,-15.9453959,7,-3,7.615773106,-23.19859051,6,-3,6.708203932,-26.56505118,6,-3,6.708203932,-26.56505118,6,-4,7.211102551,-33.69006753,5,-4,6.403124237,-38.65980825,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.11125,0.00628,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-41,0,41,0,-42,-1,42.01190308,1.363927532,-41,-2,41.0487515,2.792702366,-43,-3,43.10452412,3.990913098,-40,-4,40.19950248,5.710593137,-42,-6,42.42640687,8.130102354,-39,-6,39.45883931,8.746162263,-38,-7,38.63935817,10.43747535,-37,-7,37.65634077,10.71312302,-36,-8,36.87817783,12.52880771,-37,-8,37.85498646,12.20046873,-36,-8,36.87817783,12.52880771,-35,-8,35.90264614,12.87500156,-33,-8,33.95585369,13.62699486,-33,-9,34.20526275,15.2551187,-31,-8,32.01562119,14.4702941,-31,-8,32.01562119,14.4702941,-28,-8,29.12043956,15.9453959,-29,-8,30.08321791,15.42216132,-27,-6,27.65863337,12.52880771,-26,-5,26.47640459,10.88552705,-25,-5,25.49509757,11.30993247,-23,-5,23.53720459,12.26477373,-24,-4,24.33105012,9.462322208,-23,-3,23.19482701,7.431407971,-23,-2,23.08679276,4.969740728,0,0,0,-,-20,-1,20.02498439,2.862405226,-19,0,19,0,-19,1,19.02629759,-3.012787504,-17,1,17.02938637,-3.366460663,-17,1,17.02938637,-3.366460663,-16,3,16.2788206,-10.61965528,-15,3,15.29705854,-11.30993247,-14,4,14.56021978,-15.9453959,-13,4,13.60147051,-17.10272897,-12,5,13,-22.61986495,-12,5,13,-22.61986495,-11,5,12.08304597,-24.44395478,-10,6,11.66190379,-30.96375653,-10,7,12.20655562,-34.9920202,-9,7,11.40175425,-37.87498365,-8,7,10.63014581,-41.18592517,-7,7,9.899494937,-45,-7,8,10.63014581,-48.81407483,-6,8,10,-53.13010235,-5,8,9.433981132,-57.99461679,-5,8,9.433981132,-57.99461679,-4,7,8.062257748,-60.2551187,-4,7,8.062257748,-60.2551187,-3,7,7.615773106,-66.80140949,-2,7,7.280109889,-74.0546041,-2,7,7.280109889,-74.0546041,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.11733,0.00608,1,-99,-48,110.0227249,25.86635679,9,0,9,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-14,33,35.84689666,-67.0112832,-16,33,36.67424164,-64.13364321,-16,33,36.67424164,-64.13364321,-17,33,37.12142239,-62.74467163,-18,31,35.84689666,-59.85861445,-19,30,35.51056181,-57.6525565,-18,29,34.13209633,-58.17255342,-19,28,33.83784863,-55.84030545,-19,27,33.01514804,-54.86580694,-20,27,33.60059523,-53.47114463,-20,27,33.60059523,-53.47114463,-19,26,32.20248438,-53.84181456,-18,25,30.8058436,-54.24611275,-18,24,30,-53.13010235,-18,22,28.42534081,-50.71059314,-18,23,29.20616373,-51.95295747,-17,22,27.80287755,-52.30575953,-16,20,25.61249695,-51.34019175,-15,20,25,-53.13010235,-14,19,23.60084744,-53.61564818,-14,19,23.60084744,-53.61564818,-13,18,22.20360331,-54.16234705,-12,17,20.80865205,-54.78240703,-11,18,21.09502311,-58.57043439,-10,17,19.72308292,-59.53445508,-9,17,19.23538406,-62.10272897,0,0,0,-,-8,15,17,-61.92751306,-7,15,16.55294536,-64.98310652,-6,15,16.15549442,-68.19859051,-5,14,14.86606875,-70.34617594,-4,13,13.60147051,-72.89727103,-3,13,13.34166406,-77.00538321,-2,13,13.15294644,-81.25383774,-2,12,12.16552506,-80.53767779,-1,11,11.04536102,-84.80557109,-1,11,11.04536102,-84.80557109,1,11,11.04536102,84.80557109,1,10,10.04987562,84.28940686,2,10,10.19803903,78.69006753,2,9,9.219544457,77.47119229,3,9,9.486832981,71.56505118,3,9,9.486832981,71.56505118,4,8,8.94427191,63.43494882,4,7,8.062257748,60.2551187,5,7,8.602325267,54.46232221,5,6,7.810249676,50.19442891,5,6,7.810249676,50.19442891,5,5,7.071067812,45,5,5,7.071067812,45,5,5,7.071067812,45,5,4,6.403124237,38.65980825,5,3,5.830951895,30.96375653,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.13172,0.01439,1,-121,112,164.8787433,-42.787958,8,0,8,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,2,36,36.05551275,86.82016988,0,37,37,-,0,36,36,-,0,37,37,-,-2,36,36.05551275,-86.82016988,-3,36,36.12478374,-85.23635831,-4,35,35.22782991,-83.48019825,-5,34,34.36568055,-81.63411388,-4,33,33.24154028,-83.08877288,-6,32,32.55764119,-79.38034472,-5,33,33.37663854,-81.38435182,-6,31,31.57530681,-79.04593736,-6,31,31.57530681,-79.04593736,-5,30,30.41381265,-80.53767779,-6,29,29.61418579,-78.31063082,-4,28,28.28427125,-81.86989765,-5,28,28.44292531,-79.87532834,-4,25,25.3179778,-80.90972308,-5,25,25.49509757,-78.69006753,-4,24,24.33105012,-80.53767779,-4,23,23.34523506,-80.13419306,-2,22,22.09072203,-84.80557109,-3,20,20.22374842,-81.46923439,-1,21,21.02379604,-87.27368901,-1,20,20.02498439,-87.13759477,0,19,19,-,0,0,0,-,1,17,17.02938637,86.63353934,2,16,16.1245155,82.87498365,3,16,16.2788206,79.38034472,3,14,14.31782106,77.90524292,3,14,14.31782106,77.90524292,4,13,13.60147051,72.89727103,4,12,12.64911064,71.56505118,4,11,11.70469991,70.01689348,5,10,11.18033989,63.43494882,5,10,11.18033989,63.43494882,6,9,10.81665383,56.30993247,5,9,10.29563014,60.9453959,6,7,9.219544457,49.39870535,7,7,9.899494937,45,7,6,9.219544457,40.60129465,8,6,10,36.86989765,8,4,8.94427191,26.56505118,8,4,8.94427191,26.56505118,8,4,8.94427191,26.56505118,7,3,7.615773106,23.19859051,7,3,7.615773106,23.19859051,7,2,7.280109889,15.9453959,7,1,7.071067812,8.130102354,7,1,7.071067812,8.130102354,6,0,6,0,6,0,6,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.14248,0.01076,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-26,-26,36.76955262,45,-26,-27,37.48332963,46.08092419,-25,-27,36.79673899,47.20259816,-25,-28,37.53664876,48.2397003,-23,-28,36.23534186,50.59933934,-23,-29,37.01351105,51.58194466,-22,-28,35.60898763,51.84277341,-21,-29,35.80502758,54.09027692,-20,-28,34.40930107,54.46232221,-19,-28,33.83784863,55.84030545,-19,-28,33.83784863,55.84030545,-18,-28,33.28663395,57.26477373,-17,-27,31.90611227,57.80426607,-16,-26,30.52867504,58.39249775,-15,-26,30.01666204,60.01836063,-16,-25,29.68164416,57.38075693,-14,-24,27.78488798,59.74356284,-13,-23,26.41968963,60.524111,-14,-23,26.92582404,58.67130713,-14,-21,25.23885893,56.30993247,-13,-20,23.85372088,56.97613244,-13,-19,23.02172887,55.61965528,-12,-18,21.63330765,56.30993247,-13,-18,22.20360331,54.16234705,-13,-17,21.40093456,52.59464337,-13,-15,19.84943324,49.08561678,0,0,0,-,-13,-13,18.38477631,45,-13,-13,18.38477631,45,-13,-12,17.69180601,42.70938996,-12,-10,15.62049935,39.80557109,-12,-10,15.62049935,39.80557109,-12,-9,15,36.86989765,-12,-8,14.4222051,33.69006753,-12,-7,13.89244399,30.25643716,-11,-6,12.52996409,28.61045967,-12,-5,13,22.61986495,-12,-5,13,22.61986495,-11,-4,11.70469991,19.98310652,-11,-3,11.40175425,15.2551187,-11,-2,11.18033989,10.30484647,-10,-2,10.19803903,11.30993247,-10,-1,10.04987562,5.710593137,-10,0,10,0,-9,0,9,0,-9,1,9.055385138,-6.340191746,-9,1,9.055385138,-6.340191746,-9,1,9.055385138,-6.340191746,-8,2,8.246211251,-14.03624347,-7,2,7.280109889,-15.9453959,-7,2,7.280109889,-15.9453959,-7,3,7.615773106,-23.19859051,-6,3,6.708203932,-26.56505118,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.16383,0.02135,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,9,29,30.3644529,72.7585406,8,29,30.08321791,74.57783868,7,31,31.78049716,77.27564431,7,31,31.78049716,77.27564431,6,31,31.57530681,79.04593736,5,30,30.41381265,80.53767779,4,30,30.2654919,82.40535663,3,30,30.14962686,84.28940686,4,28,28.28427125,81.86989765,2,29,29.06888371,86.05481377,2,28,28.0713377,85.91438322,2,28,28.0713377,85.91438322,2,28,28.0713377,85.91438322,1,26,26.01922366,87.79740184,2,25,25.07987241,85.42607874,2,25,25.07987241,85.42607874,2,23,23.08679276,85.03025927,1,24,24.0208243,87.61405597,2,22,22.09072203,84.80557109,3,21,21.21320344,81.86989765,2,21,21.09502311,84.55966797,3,19,19.23538406,81.02737339,3,19,19.23538406,81.02737339,3,18,18.24828759,80.53767779,3,18,18.24828759,80.53767779,3,16,16.2788206,79.38034472,0,0,0,-,5,14,14.86606875,70.34617594,5,14,14.86606875,70.34617594,5,13,13.92838828,68.96248897,5,12,13,67.38013505,6,12,13.41640786,63.43494882,6,11,12.52996409,61.38954033,7,10,12.20655562,55.0079798,6,9,10.81665383,56.30993247,6,8,10,53.13010235,6,8,10,53.13010235,7,6,9.219544457,40.60129465,7,6,9.219544457,40.60129465,7,5,8.602325267,35.53767779,7,4,8.062257748,29.7448813,8,4,8.94427191,26.56505118,7,3,7.615773106,23.19859051,8,3,8.544003745,20.55604522,8,2,8.246211251,14.03624347,7,2,7.280109889,15.9453959,7,1,7.071067812,8.130102354,7,1,7.071067812,8.130102354,6,0,6,0,6,-1,6.08276253,-9.462322208,6,-1,6.08276253,-9.462322208,6,-1,6.08276253,-9.462322208,6,-1,6.08276253,-9.462322208,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.18667,0.02284,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,20,-14,24.41311123,-34.9920202,22,-14,26.07680962,-32.47119229,21,-13,24.69817807,-31.75948008,22,-13,25.55386468,-30.57922687,22,-12,25.05992817,-28.61045967,22,-11,24.59674775,-26.56505118,22,-10,24.16609195,-24.44395478,22,-9,23.76972865,-22.24902366,22,-8,23.40939982,-19.98310652,21,-8,22.47220505,-20.85445804,21,-9,22.84731932,-23.19859051,20,-8,21.54065923,-21.80140949,20,-9,21.9317122,-24.22774532,19,-9,21.02379604,-25.34617594,19,-7,20.24845673,-20.22485943,19,-8,20.61552813,-22.83365418,18,-6,18.97366596,-18.43494882,16,-7,17.4642492,-23.62937773,16,-7,17.4642492,-23.62937773,16,-6,17.08800749,-20.55604522,15,-6,16.15549442,-21.80140949,14,-7,15.65247584,-26.56505118,12,-6,13.41640786,-26.56505118,12,-8,14.4222051,-33.69006753,12,-8,14.4222051,-33.69006753,12,-8,14.4222051,-33.69006753,0,0,0,-,10,-8,12.80624847,-38.65980825,9,-8,12.04159458,-41.63353934,8,-8,11.3137085,-45,7,-8,10.63014581,-48.81407483,7,-8,10.63014581,-48.81407483,7,-8,10.63014581,-48.81407483,5,-7,8.602325267,-54.46232221,6,-8,10,-53.13010235,5,-7,8.602325267,-54.46232221,4,-7,8.062257748,-60.2551187,2,-9,9.219544457,-77.47119229,3,-7,7.615773106,-66.80140949,2,-7,7.280109889,-74.0546041,2,-7,7.280109889,-74.0546041,1,-7,7.071067812,-81.86989765,0,-7,7,-,0,-7,7,-,0,-7,7,-,0,-6,6,-,-1,-6,6.08276253,80.53767779,-1,-6,6.08276253,80.53767779,-1,-6,6.08276253,80.53767779,-2,-5,5.385164807,68.19859051,-2,-5,5.385164807,68.19859051,-2,-5,5.385164807,68.19859051,-3,-4,5,53.13010235,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.30753,0.12086,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,30,-18,34.98571137,-30.96375653,31,-17,35.35533906,-28.73979529,31,-17,35.35533906,-28.73979529,32,-17,36.23534186,-27.97947439,32,-14,34.92849839,-23.62937773,32,-13,34.53983208,-22.10944834,32,-13,34.53983208,-22.10944834,31,-11,32.89376841,-19.53665494,30,-10,31.6227766,-18.43494882,30,-10,31.6227766,-18.43494882,31,-11,32.89376841,-19.53665494,30,-10,31.6227766,-18.43494882,29,-10,30.6757233,-19.02560604,27,-9,28.46049894,-18.43494882,27,-8,28.16025568,-16.50436138,27,-8,28.16025568,-16.50436138,26,-7,26.92582404,-15.06848816,24,-7,25,-16.26020471,24,-7,25,-16.26020471,23,-7,24.04163056,-16.92751306,22,-7,23.08679276,-17.65012422,21,-7,22.13594362,-18.43494882,19,-7,20.24845673,-20.22485943,19,-8,20.61552813,-22.83365418,18,-8,19.6977156,-23.96248897,17,-9,19.23538406,-27.89727103,0,0,0,-,15,-8,17,-28.07248694,14,-8,16.1245155,-29.7448813,13,-9,15.8113883,-34.69515353,12,-8,14.4222051,-33.69006753,11,-9,14.2126704,-39.28940686,10,-9,13.45362405,-41.9872125,9,-10,13.45362405,-48.0127875,9,-9,12.72792206,-45,8,-9,12.04159458,-48.36646066,7,-9,11.40175425,-52.12501635,6,-10,11.66190379,-59.03624347,5,-9,10.29563014,-60.9453959,5,-10,11.18033989,-63.43494882,4,-10,10.77032961,-68.19859051,3,-10,10.44030651,-73.30075577,3,-10,10.44030651,-73.30075577,2,-10,10.19803903,-78.69006753,1,-9,9.055385138,-83.65980825,1,-9,9.055385138,-83.65980825,0,-9,9,-,0,-8,8,-,-1,-8,8.062257748,82.87498365,-1,-8,8.062257748,82.87498365,-2,-8,8.246211251,75.96375653,-1,-7,7.071067812,81.86989765,-2,-7,7.280109889,74.0546041,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.64317,0.33564,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-31,16,34.88552709,-27.29957221,-32,15,35.34119409,-25.11483489,-31,14,34.0147027,-24.30454927,-33,14,35.84689666,-22.9887168,-32,12,34.17601498,-20.55604522,-33,11,34.78505426,-18.43494882,-32,10,33.52610923,-17.35402464,-32,10,33.52610923,-17.35402464,-31,9,32.28002478,-16.18920626,-30,8,31.04834939,-14.93141718,-31,9,32.28002478,-16.18920626,-30,10,31.6227766,-18.43494882,-29,9,30.3644529,-17.2414594,-28,8,29.12043956,-15.9453959,-27,7,27.89265136,-14.53445508,-27,7,27.89265136,-14.53445508,-26,6,26.68332813,-12.99461679,-24,6,24.73863375,-14.03624347,-24,6,24.73863375,-14.03624347,-23,6,23.76972865,-14.62087399,-22,6,22.8035085,-15.2551187,-21,6,21.84032967,-15.9453959,-19,6,19.92485885,-17.52556837,-19,8,20.61552813,-22.83365418,-18,8,19.6977156,-23.96248897,-17,8,18.78829423,-25.20112365,0,0,0,-,-15,8,17,-28.07248694,-14,8,16.1245155,-29.7448813,-14,9,16.64331698,-32.73522627,-12,8,14.4222051,-33.69006753,-12,9,15,-36.86989765,-11,9,14.2126704,-39.28940686,-10,9,13.45362405,-41.9872125,-9,9,12.72792206,-45,-9,9,12.72792206,-45,-7,10,12.20655562,-55.0079798,-6,10,11.66190379,-59.03624347,-6,10,11.66190379,-59.03624347,-5,9,10.29563014,-60.9453959,-5,10,11.18033989,-63.43494882,-4,9,9.848857802,-66.03751103,-3,10,10.44030651,-73.30075577,-3,9,9.486832981,-71.56505118,-2,10,10.19803903,-78.69006753,-2,10,10.19803903,-78.69006753,-2,9,9.219544457,-77.47119229,-1,9,9.055385138,-83.65980825,-1,8,8.062257748,-82.87498365,0,8,8,-,0,9,9,-,1,7,7.071067812,81.86989765,1,7,7.071067812,81.86989765,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.14266,0.49949,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,35,7,35.6931366,11.30993247,35,2,35.05709629,3.270487923,39,9,40.02499219,12.99461679,33,3,33.13608305,5.194428908,31,8,32.01562119,14.4702941,37,12,38.89730068,17.96913974,28,13,30.87069808,24.90476881,29,13,31.78049716,24.14554196,32,11,33.83784863,18.97040781,25,11,27.31300057,23.74949449,27,10,28.7923601,20.32313683,25,12,27.73084925,25.64100582,24,11,26.40075756,24.62356479,24,11,26.40075756,24.62356479,22,12,25.05992817,28.61045967,23,9,24.69817807,21.37062227,21,10,23.2594067,25.46334506,21,10,23.2594067,25.46334506,20,9,21.9317122,24.22774532,19,9,21.02379604,25.34617594,18,8,19.6977156,23.96248897,18,7,19.31320792,21.25050551,16,7,17.4642492,23.62937773,17,6,18.02775638,19.44003483,16,4,16.4924225,14.03624347,16,4,16.4924225,14.03624347,0,0,0,-,15,3,15.29705854,11.30993247,15,2,15.13274595,7.594643369,14,1,14.03566885,4.08561678,13,0,13,0,13,-1,13.03840481,-4.398705355,12,-1,12.04159458,-4.763641691,12,-2,12.16552506,-9.462322208,12,-2,12.16552506,-9.462322208,10,-3,10.44030651,-16.69924423,11,-4,11.70469991,-19.98310652,10,-5,11.18033989,-26.56505118,10,-5,11.18033989,-26.56505118,9,-6,10.81665383,-33.69006753,9,-6,10.81665383,-33.69006753,9,-7,11.40175425,-37.87498365,8,-7,10.63014581,-41.18592517,8,-7,10.63014581,-41.18592517,8,-8,11.3137085,-45,7,-8,10.63014581,-48.81407483,7,-8,10.63014581,-48.81407483,6,-8,10,-53.13010235,6,-9,10.81665383,-56.30993247,6,-9,10.81665383,-56.30993247,5,-9,10.29563014,-60.9453959,5,-9,10.29563014,-60.9453959,4,-9,9.848857802,-66.03751103,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
