real_timestamp,Delta t,Zone,R1,I1,Mag1,Phase1,R2,I2,Mag2,Phase2,R3,I3,Mag3,Phase3,R4,I4,Mag4,Phase4,R5,I5,Mag5,Phase5,R6,I6,Mag6,Phase6,R7,I7,Mag7,Phase7,R8,I8,Mag8,Phase8,R9,I9,Mag9,Phase9,R10,I10,Mag10,Phase10,R11,I11,Mag11,Phase11,R12,I12,Mag12,Phase12,R13,I13,Mag13,Phase13,R14,I14,Mag14,Phase14,R15,I15,Mag15,Phase15,R16,I16,Mag16,Phase16,R17,I17,Mag17,Phase17,R18,I18,Mag18,Phase18,R19,I19,Mag19,Phase19,R20,I20,Mag20,Phase20,R21,I21,Mag21,Phase21,R22,I22,Mag22,Phase22,R23,I23,Mag23,Phase23,R24,I24,Mag24,Phase24,R25,I25,Mag25,Phase25,R26,I26,Mag26,Phase26,R27,I27,Mag27,Phase27,R28,I28,Mag28,Phase28,R29,I29,Mag29,Phase29,R30,I30,Mag30,Phase30,R31,I31,Mag31,Phase31,R32,I32,Mag32,Phase32,R33,I33,Mag33,Phase33,R34,I34,Mag34,Phase34,R35,I35,Mag35,Phase35,R36,I36,Mag36,Phase36,R37,I37,Mag37,Phase37,R38,I38,Mag38,Phase38,R39,I39,Mag39,Phase39,R40,I40,Mag40,Phase40,R41,I41,Mag41,Phase41,R42,I42,Mag42,Phase42,R43,I43,Mag43,Phase43,R44,I44,Mag44,Phase44,R45,I45,Mag45,Phase45,R46,I46,Mag46,Phase46,R47,I47,Mag47,Phase47,R48,I48,Mag48,Phase48,R49,I49,Mag49,Phase49,R50,I50,Mag50,Phase50,R51,I51,Mag51,Phase51,R52,I52,Mag52,Phase52,R53,I53,Mag53,Phase53,R54,I54,Mag54,Phase54,R55,I55,Mag55,Phase55,R56,I56,Mag56,Phase56,R57,I57,Mag57,Phase57,R58,I58,Mag58,Phase58,R59,I59,Mag59,Phase59,R60,I60,Mag60,Phase60,R61,I61,Mag61,Phase61,R62,I62,Mag62,Phase62,R63,I63,Mag63,Phase63,R64,I64,Mag64,Phase64
0.635934,-,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-10,-4,10.77032961,21.80140949,-10,-4,10.77032961,21.80140949,-10,-4,10.77032961,21.80140949,-9,-4,9.848857802,23.96248897,-8,-4,8.94427191,26.56505118,-8,-5,9.433981132,32.00538321,-8,-4,8.94427191,26.56505118,-8,-4,8.94427191,26.56505118,-7,-5,8.602325267,35.53767779,-7,-4,8.062257748,29.7448813,-7,-4,8.062257748,29.7448813,-6,-3,6.708203932,26.56505118,-7,-4,8.062257748,29.7448813,-7,-3,7.615773106,23.19859051,-7,-2,7.280109889,15.9453959,-7,-3,7.615773106,23.19859051,-7,-3,7.615773106,23.19859051,-6,-2,6.32455532,18.43494882,-7,-2,7.280109889,15.9453959,-7,-2,7.280109889,15.9453959,-8,-2,8.246211251,14.03624347,-8,-2,8.246211251,14.03624347,-7,-1,7.071067812,8.130102354,-8,-2,8.246211251,14.03624347,-8,-1,8.062257748,7.125016349,-9,-2,9.219544457,12.52880771,0,0,0,-,-9,-1,9.055385138,6.340191746,-9,-2,9.219544457,12.52880771,-9,-1,9.055385138,6.340191746,-9,-1,9.055385138,6.340191746,-10,-1,10.04987562,5.710593137,-10,-1,10.04987562,5.710593137,-10,-2,10.19803903,11.30993247,-11,-1,11.04536102,5.194428908,-11,-1,11.04536102,5.194428908,-11,-1,11.04536102,5.194428908,-12,0,12,0,-12,-1,12.04159458,4.763641691,-12,-1,12.04159458,4.763641691,-13,0,13,0,-13,-1,13.03840481,4.398705355,-13,-1,13.03840481,4.398705355,-13,-1,13.03840481,4.398705355,-13,-1,13.03840481,4.398705355,-14,0,14,0,-14,-1,14.03566885,4.08561678,-13,-2,13.15294644,8.746162263,-14,-1,14.03566885,4.08561678,-15,-1,15.03329638,3.814074834,-15,-2,15.13274595,7.594643369,-15,-2,15.13274595,7.594643369,-15,-1,15.03329638,3.814074834,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.642724,0.00679,1,-99,-48,110.0227249,25.86635679,9,0,9,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,12,15,19.20937271,51.34019175,10,15,18.02775638,56.30993247,10,15,18.02775638,56.30993247,9,15,17.49285568,59.03624347,9,15,17.49285568,59.03624347,8,15,17,61.92751306,7,15,16.55294536,64.98310652,7,14,15.65247584,63.43494882,6,14,15.23154621,66.80140949,6,13,14.31782106,65.22485943,6,13,14.31782106,65.22485943,6,12,13.41640786,63.43494882,6,12,13.41640786,63.43494882,6,11,12.52996409,61.38954033,6,11,12.52996409,61.38954033,6,11,12.52996409,61.38954033,7,11,13.03840481,57.52880771,6,10,11.66190379,59.03624347,7,10,12.20655562,55.0079798,8,11,13.60147051,53.97262661,8,10,12.80624847,51.34019175,9,10,13.45362405,48.0127875,9,10,13.45362405,48.0127875,10,10,14.14213562,45,11,11,15.55634919,45,11,12,16.2788206,47.48955292,0,0,0,-,11,12,16.2788206,47.48955292,12,12,16.97056275,45,12,12,16.97056275,45,12,11,16.2788206,42.51044708,12,12,16.97056275,45,13,12,17.69180601,42.70938996,13,13,18.38477631,45,13,13,18.38477631,45,14,13,19.10497317,42.8789036,15,13,19.84943324,40.91438322,15,14,20.51828453,43.02506599,15,13,19.84943324,40.91438322,16,14,21.26029163,41.18592517,17,14,22.02271555,39.47245985,17,15,22.6715681,41.42366563,18,16,24.08318916,41.63353934,18,15,23.43074903,39.80557109,18,16,24.08318916,41.63353934,19,17,25.49509757,41.82016988,19,18,26.17250466,43.4518423,19,18,26.17250466,43.4518423,19,18,26.17250466,43.4518423,19,19,26.87005769,45,20,19,27.58622845,43.53119929,19,19,26.87005769,45,19,20,27.58622845,46.46880071,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.656791,0.014067,1,-121,112,164.8787433,-42.787958,8,0,8,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-21,6,21.84032967,-15.9453959,-21,5,21.58703314,-13.39249775,-21,4,21.37755833,-10.78429787,-21,3,21.21320344,-8.130102354,-20,2,20.09975124,-5.710593137,-20,2,20.09975124,-5.710593137,-19,2,19.10497317,-6.009005957,-18,0,18,0,-18,0,18,0,-17,0,17,0,-18,0,18,0,-18,0,18,0,-17,1,17.02938637,-3.366460663,-16,1,16.03121954,-3.576334375,-15,1,15.03329638,-3.814074834,-15,2,15.13274595,-7.594643369,-15,1,15.03329638,-3.814074834,-14,2,14.14213562,-8.130102354,-15,3,15.29705854,-11.30993247,-16,3,16.2788206,-10.61965528,-16,4,16.4924225,-14.03624347,-16,4,16.4924225,-14.03624347,-15,5,15.8113883,-18.43494882,-16,5,16.76305461,-17.35402464,-17,5,17.72004515,-16.38954033,-18,6,18.97366596,-18.43494882,0,0,0,-,-19,6,19.92485885,-17.52556837,-18,6,18.97366596,-18.43494882,-19,6,19.92485885,-17.52556837,-19,7,20.24845673,-20.22485943,-19,8,20.61552813,-22.83365418,-21,6,21.84032967,-15.9453959,-20,6,20.88061302,-16.69924423,-21,7,22.13594362,-18.43494882,-20,7,21.1896201,-19.29004622,-22,7,23.08679276,-17.65012422,-22,9,23.76972865,-22.24902366,-22,9,23.76972865,-22.24902366,-22,10,24.16609195,-24.44395478,-24,9,25.63201124,-20.55604522,-24,10,26,-22.61986495,-25,9,26.57066051,-19.79887635,-26,10,27.85677655,-21.03751103,-27,10,28.7923601,-20.32313683,-27,9,28.46049894,-18.43494882,-28,9,29.41088234,-17.81888891,-28,8,29.12043956,-15.9453959,-33,10,34.4818793,-16.85839877,-32,8,32.984845,-14.03624347,-32,8,32.984845,-14.03624347,-35,7,35.6931366,-11.30993247,-25,9,26.57066051,-19.79887635,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.668472,0.011681,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-1,-19,19.02629759,86.9872125,0,-19,19,-,0,-18,18,-,1,-18,18.02775638,-86.82016988,1,-17,17.02938637,-86.63353934,2,-16,16.1245155,-82.87498365,2,-16,16.1245155,-82.87498365,3,-16,16.2788206,-79.38034472,2,-15,15.13274595,-82.40535663,3,-14,14.31782106,-77.90524292,1,-15,15.03329638,-86.18592517,2,-14,14.14213562,-81.86989765,2,-14,14.14213562,-81.86989765,1,-13,13.03840481,-85.60129465,1,-13,13.03840481,-85.60129465,1,-13,13.03840481,-85.60129465,0,-13,13,-,0,-13,13,-,-1,-13,13.03840481,85.60129465,-1,-14,14.03566885,85.91438322,-2,-14,14.14213562,81.86989765,-2,-14,14.14213562,81.86989765,-2,-14,14.14213562,81.86989765,-3,-15,15.29705854,78.69006753,-3,-15,15.29705854,78.69006753,-3,-16,16.2788206,79.38034472,0,0,0,-,-3,-16,16.2788206,79.38034472,-4,-16,16.4924225,75.96375653,-4,-17,17.4642492,76.75948008,-4,-16,16.4924225,75.96375653,-4,-17,17.4642492,76.75948008,-5,-18,18.68154169,74.475889,-5,-18,18.68154169,74.475889,-5,-18,18.68154169,74.475889,-5,-18,18.68154169,74.475889,-5,-19,19.6468827,75.25643716,-7,-19,20.24845673,69.77514057,-6,-19,19.92485885,72.47443163,-7,-19,20.24845673,69.77514057,-7,-20,21.1896201,70.70995378,-7,-21,22.13594362,71.56505118,-7,-21,22.13594362,71.56505118,-8,-22,23.40939982,70.01689348,-8,-23,24.35159132,70.82099197,-7,-24,25,73.73979529,-7,-23,24.04163056,73.07248694,-7,-24,25,73.73979529,-7,-24,25,73.73979529,-7,-25,25.96150997,74.35775354,-8,-26,27.20294102,72.89727103,-8,-25,26.2488095,72.25532837,-7,-26,26.92582404,74.93151184,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.691587,0.023115,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,13,2,13.15294644,8.746162263,13,2,13.15294644,8.746162263,13,2,13.15294644,8.746162263,12,3,12.36931688,14.03624347,13,3,13.34166406,12.99461679,12,3,12.36931688,14.03624347,11,4,11.70469991,19.98310652,11,3,11.40175425,15.2551187,11,3,11.40175425,15.2551187,11,4,11.70469991,19.98310652,10,3,10.44030651,16.69924423,10,3,10.44030651,16.69924423,9,3,9.486832981,18.43494882,10,3,10.44030651,16.69924423,9,4,9.848857802,23.96248897,10,2,10.19803903,11.30993247,9,2,9.219544457,12.52880771,8,2,8.246211251,14.03624347,10,2,10.19803903,11.30993247,10,1,10.04987562,5.710593137,10,2,10.19803903,11.30993247,11,0,11,0,11,1,11.04536102,5.194428908,11,1,11.04536102,5.194428908,11,1,11.04536102,5.194428908,11,1,11.04536102,5.194428908,0,0,0,-,12,1,12.04159458,4.763641691,13,0,13,0,12,0,12,0,13,-1,13.03840481,-4.398705355,13,0,13,0,14,0,14,0,13,0,13,0,15,0,15,0,14,0,14,0,15,0,15,0,15,-1,15.03329638,-3.814074834,16,0,16,0,15,0,15,0,16,0,16,0,17,0,17,0,16,-1,16.03121954,-3.576334375,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,19,1,19.02629759,3.012787504,19,1,19.02629759,3.012787504,20,2,20.09975124,5.710593137,20,1,20.02498439,2.862405226,20,1,20.02498439,2.862405226,19,2,19.10497317,6.009005957,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.711848,0.020261,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-14,6,15.23154621,-23.19859051,-13,6,14.31782106,-24.77514057,-14,6,15.23154621,-23.19859051,-13,5,13.92838828,-21.03751103,-14,5,14.86606875,-19.65382406,-13,5,13.92838828,-21.03751103,-13,4,13.60147051,-17.10272897,-12,4,12.64911064,-18.43494882,-13,3,13.34166406,-12.99461679,-12,4,12.64911064,-18.43494882,-11,4,11.70469991,-19.98310652,-11,4,11.70469991,-19.98310652,-11,4,11.70469991,-19.98310652,-11,4,11.70469991,-19.98310652,-11,4,11.70469991,-19.98310652,-11,4,11.70469991,-19.98310652,-10,4,10.77032961,-21.80140949,-10,4,10.77032961,-21.80140949,-10,5,11.18033989,-26.56505118,-10,5,11.18033989,-26.56505118,-10,6,11.66190379,-30.96375653,-10,5,11.18033989,-26.56505118,-10,6,11.66190379,-30.96375653,-10,7,12.20655562,-34.9920202,-11,6,12.52996409,-28.61045967,-11,7,13.03840481,-32.47119229,0,0,0,-,-11,7,13.03840481,-32.47119229,-12,7,13.89244399,-30.25643716,-12,8,14.4222051,-33.69006753,-12,7,13.89244399,-30.25643716,-11,8,13.60147051,-36.02737339,-12,8,14.4222051,-33.69006753,-12,9,15,-36.86989765,-12,9,15,-36.86989765,-12,9,15,-36.86989765,-12,10,15.62049935,-39.80557109,-12,10,15.62049935,-39.80557109,-12,11,16.2788206,-42.51044708,-13,11,17.02938637,-40.23635831,-14,11,17.80449381,-38.15722659,-14,10,17.20465053,-35.53767779,-14,11,17.80449381,-38.15722659,-14,12,18.43908891,-40.60129465,-14,12,18.43908891,-40.60129465,-15,12,19.20937271,-38.65980825,-15,12,19.20937271,-38.65980825,-16,13,20.61552813,-39.09385889,-16,12,20,-36.86989765,-16,12,20,-36.86989765,-16,13,20.61552813,-39.09385889,-17,12,20.80865205,-35.21759297,-18,12,21.63330765,-33.69006753,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.02665,0.314802,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-9,9,12.72792206,-45,-9,8,12.04159458,-41.63353934,-8,8,11.3137085,-45,-7,6,9.219544457,-40.60129465,-6,5,7.810249676,-39.80557109,-5,5,7.071067812,-45,-5,5,7.071067812,-45,-4,4,5.656854249,-45,-3,3,4.242640687,-45,-2,3,3.605551275,-56.30993247,-1,3,3.16227766,-71.56505118,-1,3,3.16227766,-71.56505118,1,2,2.236067977,63.43494882,2,3,3.605551275,56.30993247,3,3,4.242640687,45,4,4,5.656854249,45,4,4,5.656854249,45,6,5,7.810249676,39.80557109,7,5,8.602325267,35.53767779,8,6,10,36.86989765,7,7,9.899494937,45,8,7,10.63014581,41.18592517,9,8,12.04159458,41.63353934,9,10,13.45362405,48.0127875,9,9,12.72792206,45,9,10,13.45362405,48.0127875,0,0,0,-,9,11,14.2126704,50.71059314,9,12,15,53.13010235,10,12,15.62049935,50.19442891,10,12,15.62049935,50.19442891,10,12,15.62049935,50.19442891,10,12,15.62049935,50.19442891,12,14,18.43908891,49.39870535,12,14,18.43908891,49.39870535,12,13,17.69180601,47.29061004,13,14,19.10497317,47.1210964,14,15,20.51828453,46.97493401,14,15,20.51828453,46.97493401,14,16,21.26029163,48.81407483,16,17,23.34523506,46.73570459,17,17,24.04163056,45,17,17,24.04163056,45,18,19,26.17250466,46.5481577,18,19,26.17250466,46.5481577,19,20,27.58622845,46.46880071,20,20,28.28427125,45,20,21,29,46.39718103,20,21,29,46.39718103,21,23,31.144823,47.6025622,21,24,31.89043744,48.81407483,20,24,31.2409987,50.19442891,21,24,31.89043744,48.81407483,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.1667,0.14005,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,7,-15,16.55294536,-64.98310652,7,-13,14.76482306,-61.69924423,7,-13,14.76482306,-61.69924423,8,-12,14.4222051,-56.30993247,7,-12,13.89244399,-59.74356284,8,-12,14.4222051,-56.30993247,8,-11,13.60147051,-53.97262661,8,-9,12.04159458,-48.36646066,7,-11,13.03840481,-57.52880771,7,-10,12.20655562,-55.0079798,6,-9,10.81665383,-56.30993247,7,-10,12.20655562,-55.0079798,6,-11,12.52996409,-61.38954033,5,-10,11.18033989,-63.43494882,5,-10,11.18033989,-63.43494882,4,-10,10.77032961,-68.19859051,4,-10,10.77032961,-68.19859051,4,-10,10.77032961,-68.19859051,5,-11,12.08304597,-65.55604522,6,-10,11.66190379,-59.03624347,5,-12,13,-67.38013505,5,-12,13,-67.38013505,5,-12,13,-67.38013505,4,-12,12.64911064,-71.56505118,5,-14,14.86606875,-70.34617594,6,-13,14.31782106,-65.22485943,0,0,0,-,6,-13,14.31782106,-65.22485943,6,-13,14.31782106,-65.22485943,7,-13,14.76482306,-61.69924423,5,-13,13.92838828,-68.96248897,6,-14,15.23154621,-66.80140949,7,-13,14.76482306,-61.69924423,6,-13,14.31782106,-65.22485943,5,-14,14.86606875,-70.34617594,6,-14,15.23154621,-66.80140949,6,-14,15.23154621,-66.80140949,6,-15,16.15549442,-68.19859051,5,-15,15.8113883,-71.56505118,5,-15,15.8113883,-71.56505118,6,-16,17.08800749,-69.44395478,6,-16,17.08800749,-69.44395478,6,-17,18.02775638,-70.55996517,6,-17,18.02775638,-70.55996517,6,-17,18.02775638,-70.55996517,7,-17,18.38477631,-67.61986495,7,-18,19.31320792,-68.74949449,7,-18,19.31320792,-68.74949449,7,-18,19.31320792,-68.74949449,8,-19,20.61552813,-67.16634582,8,-19,20.61552813,-67.16634582,9,-19,21.02379604,-64.65382406,9,-19,21.02379604,-64.65382406,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.66886,0.50216,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,16,-13,20.61552813,-39.09385889,20,-14,24.41311123,-34.9920202,19,-15,24.20743687,-38.29016319,21,-15,25.8069758,-35.53767779,22,-15,26.62705391,-34.28687698,24,-14,27.78488798,-30.25643716,25,-14,28.65309756,-29.24882634,26,-12,28.63564213,-24.77514057,27,-15,30.88689042,-29.0546041,26,-12,28.63564213,-24.77514057,28,-14,31.30495168,-26.56505118,28,-15,31.76476035,-28.17859011,29,-14,32.20248438,-25.76932762,29,-14,32.20248438,-25.76932762,30,-11,31.95309062,-20.13630343,26,-12,28.63564213,-24.77514057,28,-11,30.08321791,-21.44773633,24,-10,26,-22.61986495,25,-8,26.2488095,-17.74467163,23,-8,24.35159132,-19.17900803,23,-5,23.53720459,-12.26477373,19,-7,20.24845673,-20.22485943,18,-7,19.31320792,-21.25050551,18,-3,18.24828759,-9.462322208,14,-7,15.65247584,-26.56505118,12,-7,13.89244399,-30.25643716,0,0,0,-,9,-4,9.848857802,-23.96248897,6,-5,7.810249676,-39.80557109,7,-1,7.071067812,-8.130102354,5,-4,6.403124237,-38.65980825,3,-4,5,-53.13010235,1,0,1,0,1,-1,1.414213562,-45,-1,1,1.414213562,-45,-3,1,3.16227766,-18.43494882,-1,1,1.414213562,-45,-5,2,5.385164807,-21.80140949,-5,5,7.071067812,-45,-7,7,9.899494937,-45,-7,9,11.40175425,-52.12501635,-6,10,11.66190379,-59.03624347,-9,11,14.2126704,-50.71059314,-7,13,14.76482306,-61.69924423,-8,15,17,-61.92751306,-9,16,18.35755975,-60.64224646,-9,17,19.23538406,-62.10272897,-9,20,21.9317122,-65.77225468,-9,20,21.9317122,-65.77225468,-8,22,23.40939982,-70.01689348,-8,24,25.29822128,-71.56505118,-6,24,24.73863375,-75.96375653,-6,26,26.68332813,-77.00538321,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.02464,0.35578,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,23,-5,23.53720459,-12.26477373,22,-3,22.20360331,-7.765166018,22,-2,22.09072203,-5.194428908,22,-2,22.09072203,-5.194428908,21,-1,21.02379604,-2.726310994,20,0,20,0,19,1,19.02629759,3.012787504,18,1,18.02775638,3.17983012,19,2,19.10497317,6.009005957,18,2,18.11077028,6.340191746,16,2,16.1245155,7.125016349,16,3,16.2788206,10.61965528,16,3,16.2788206,10.61965528,15,3,15.29705854,11.30993247,14,2,14.14213562,8.130102354,13,2,13.15294644,8.746162263,12,2,12.16552506,9.462322208,11,2,11.18033989,10.30484647,11,1,11.04536102,5.194428908,11,1,11.04536102,5.194428908,11,0,11,0,11,-1,11.04536102,-5.194428908,10,-1,10.04987562,-5.710593137,10,-2,10.19803903,-11.30993247,10,-2,10.19803903,-11.30993247,10,-3,10.44030651,-16.69924423,0,0,0,-,9,-4,9.848857802,-23.96248897,9,-4,9.848857802,-23.96248897,9,-5,10.29563014,-29.0546041,8,-5,9.433981132,-32.00538321,8,-5,9.433981132,-32.00538321,8,-6,10,-36.86989765,7,-7,9.899494937,-45,7,-8,10.63014581,-48.81407483,7,-8,10.63014581,-48.81407483,6,-9,10.81665383,-56.30993247,6,-9,10.81665383,-56.30993247,6,-10,11.66190379,-59.03624347,6,-10,11.66190379,-59.03624347,6,-12,13.41640786,-63.43494882,6,-12,13.41640786,-63.43494882,6,-13,14.31782106,-65.22485943,6,-14,15.23154621,-66.80140949,7,-15,16.55294536,-64.98310652,7,-15,16.55294536,-64.98310652,7,-16,17.4642492,-66.37062227,7,-16,17.4642492,-66.37062227,7,-17,18.38477631,-67.61986495,8,-17,18.78829423,-64.79887635,8,-17,18.78829423,-64.79887635,9,-18,20.1246118,-63.43494882,9,-18,20.1246118,-63.43494882,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
