real_timestamp,Delta t,Zone,R1,I1,Mag1,Phase1,R2,I2,Mag2,Phase2,R3,I3,Mag3,Phase3,R4,I4,Mag4,Phase4,R5,I5,Mag5,Phase5,R6,I6,Mag6,Phase6,R7,I7,Mag7,Phase7,R8,I8,Mag8,Phase8,R9,I9,Mag9,Phase9,R10,I10,Mag10,Phase10,R11,I11,Mag11,Phase11,R12,I12,Mag12,Phase12,R13,I13,Mag13,Phase13,R14,I14,Mag14,Phase14,R15,I15,Mag15,Phase15,R16,I16,Mag16,Phase16,R17,I17,Mag17,Phase17,R18,I18,Mag18,Phase18,R19,I19,Mag19,Phase19,R20,I20,Mag20,Phase20,R21,I21,Mag21,Phase21,R22,I22,Mag22,Phase22,R23,I23,Mag23,Phase23,R24,I24,Mag24,Phase24,R25,I25,Mag25,Phase25,R26,I26,Mag26,Phase26,R27,I27,Mag27,Phase27,R28,I28,Mag28,Phase28,R29,I29,Mag29,Phase29,R30,I30,Mag30,Phase30,R31,I31,Mag31,Phase31,R32,I32,Mag32,Phase32,R33,I33,Mag33,Phase33,R34,I34,Mag34,Phase34,R35,I35,Mag35,Phase35,R36,I36,Mag36,Phase36,R37,I37,Mag37,Phase37,R38,I38,Mag38,Phase38,R39,I39,Mag39,Phase39,R40,I40,Mag40,Phase40,R41,I41,Mag41,Phase41,R42,I42,Mag42,Phase42,R43,I43,Mag43,Phase43,R44,I44,Mag44,Phase44,R45,I45,Mag45,Phase45,R46,I46,Mag46,Phase46,R47,I47,Mag47,Phase47,R48,I48,Mag48,Phase48,R49,I49,Mag49,Phase49,R50,I50,Mag50,Phase50,R51,I51,Mag51,Phase51,R52,I52,Mag52,Phase52,R53,I53,Mag53,Phase53,R54,I54,Mag54,Phase54,R55,I55,Mag55,Phase55,R56,I56,Mag56,Phase56,R57,I57,Mag57,Phase57,R58,I58,Mag58,Phase58,R59,I59,Mag59,Phase59,R60,I60,Mag60,Phase60,R61,I61,Mag61,Phase61,R62,I62,Mag62,Phase62,R63,I63,Mag63,Phase63,R64,I64,Mag64,Phase64
2.1546,-,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,22,-18,28.42534081,-39.28940686,22,-16,27.20294102,-36.02737339,22,-16,27.20294102,-36.02737339,22,-14,26.07680962,-32.47119229,22,-11,24.59674775,-26.56505118,21,-9,22.84731932,-23.19859051,19,-10,21.47091055,-27.7585406,18,-7,19.31320792,-21.25050551,17,-8,18.78829423,-25.20112365,16,-6,17.08800749,-20.55604522,15,-7,16.55294536,-25.01689348,13,-5,13.92838828,-21.03751103,11,-5,12.08304597,-24.44395478,12,-5,13,-22.61986495,10,-6,11.66190379,-30.96375653,8,-7,10.63014581,-41.18592517,7,-7,9.899494937,-45,8,-7,10.63014581,-41.18592517,7,-8,10.63014581,-48.81407483,6,-8,10,-53.13010235,7,-10,12.20655562,-55.0079798,5,-10,11.18033989,-63.43494882,6,-9,10.81665383,-56.30993247,5,-9,10.29563014,-60.9453959,5,-10,11.18033989,-63.43494882,5,-11,12.08304597,-65.55604522,0,0,0,-,4,-11,11.70469991,-70.01689348,3,-11,11.40175425,-74.7448813,3,-10,10.44030651,-73.30075577,3,-11,11.40175425,-74.7448813,2,-10,10.19803903,-78.69006753,2,-11,11.18033989,-79.69515353,1,-10,10.04987562,-84.28940686,1,-9,9.055385138,-83.65980825,0,-9,9,-,-1,-9,9.055385138,83.65980825,-2,-9,9.219544457,77.47119229,-3,-8,8.544003745,69.44395478,-5,-8,9.433981132,57.99461679,-6,-9,10.81665383,56.30993247,-7,-10,12.20655562,55.0079798,-9,-9,12.72792206,45,-11,-10,14.86606875,42.27368901,-11,-10,14.86606875,42.27368901,-14,-10,17.20465053,35.53767779,-14,-12,18.43908891,40.60129465,-16,-12,20,36.86989765,-16,-12,20,36.86989765,-18,-14,22.8035085,37.87498365,-19,-14,23.60084744,36.38435182,-19,-17,25.49509757,41.82016988,-20,-18,26.90724809,41.9872125,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.16138,0.00678,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,23,25,33.9705755,47.38594403,23,23,32.52691193,45,24,31,39.20459157,52.25319461,17,26,31.06444913,56.82148834,14,22,26.07680962,57.52880771,16,23,28.01785145,55.17551084,14,25,28.65309756,60.75117366,12,21,24.18677324,60.2551187,11,21,23.70653918,62.35402464,10,20,22.36067977,63.43494882,10,18,20.59126028,60.9453959,10,17,19.72308292,59.53445508,6,14,15.23154621,66.80140949,10,12,15.62049935,50.19442891,10,11,14.86606875,47.72631099,9,11,14.2126704,50.71059314,8,10,12.80624847,51.34019175,13,10,16.40121947,37.56859203,11,7,13.03840481,32.47119229,10,9,13.45362405,41.9872125,12,6,13.41640786,26.56505118,14,6,15.23154621,23.19859051,12,6,13.41640786,26.56505118,14,5,14.86606875,19.65382406,14,6,15.23154621,23.19859051,15,5,15.8113883,18.43494882,0,0,0,-,16,4,16.4924225,14.03624347,13,2,13.15294644,8.746162263,13,2,13.15294644,8.746162263,11,3,11.40175425,15.2551187,10,2,10.19803903,11.30993247,15,-2,15.13274595,-7.594643369,9,6,10.81665383,33.69006753,11,-5,12.08304597,-24.44395478,16,7,17.4642492,23.62937773,15,8,17,28.07248694,6,-3,6.708203932,-26.56505118,7,-7,9.899494937,-45,5,-7,8.602325267,-54.46232221,5,-7,8.602325267,-54.46232221,10,-8,12.80624847,-38.65980825,7,-11,13.03840481,-57.52880771,9,-15,17.49285568,-59.03624347,9,-17,19.23538406,-62.10272897,8,-15,17,-61.92751306,10,-21,23.2594067,-64.53665494,8,-20,21.54065923,-68.19859051,11,-24,26.40075756,-65.37643521,11,-25,27.31300057,-66.25050551,12,-25,27.73084925,-64.35899418,15,-26,30.01666204,-60.01836063,14,-28,31.30495168,-63.43494882,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.16683,0.00545,1,-99,-48,110.0227249,25.86635679,9,0,9,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-2,23,23.08679276,-85.03025927,-3,24,24.18677324,-82.87498365,-5,23,23.53720459,-77.73522627,-5,22,22.56102835,-77.19573393,-6,19,19.92485885,-72.47443163,-8,19,20.61552813,-67.16634582,-7,17,18.38477631,-67.61986495,-7,16,17.4642492,-66.37062227,-7,14,15.65247584,-63.43494882,-7,13,14.76482306,-61.69924423,-6,13,14.31782106,-65.22485943,-6,11,12.52996409,-61.38954033,-5,12,13,-67.38013505,-4,10,10.77032961,-68.19859051,-4,9,9.848857802,-66.03751103,-2,10,10.19803903,-78.69006753,-2,9,9.219544457,-77.47119229,-1,8,8.062257748,-82.87498365,-1,9,9.055385138,-83.65980825,1,9,9.055385138,83.65980825,0,8,8,-,1,9,9.055385138,83.65980825,1,8,8.062257748,82.87498365,2,9,9.219544457,77.47119229,3,9,9.486832981,71.56505118,2,9,9.219544457,77.47119229,0,0,0,-,4,9,9.848857802,66.03751103,3,8,8.544003745,69.44395478,4,8,8.94427191,63.43494882,3,7,7.615773106,66.80140949,3,8,8.544003745,69.44395478,3,8,8.544003745,69.44395478,4,8,8.94427191,63.43494882,4,6,7.211102551,56.30993247,4,5,6.403124237,51.34019175,5,5,7.071067812,45,6,5,7.810249676,39.80557109,6,4,7.211102551,33.69006753,7,2,7.280109889,15.9453959,8,2,8.246211251,14.03624347,8,1,8.062257748,7.125016349,11,0,11,0,11,0,11,0,12,-1,12.04159458,-4.763641691,14,-1,14.03566885,-4.08561678,13,-1,13.03840481,-4.398705355,16,-1,16.03121954,-3.576334375,17,-2,17.11724277,-6.709836808,17,-1,17.02938637,-3.366460663,20,-1,20.02498439,-2.862405226,20,-1,20.02498439,-2.862405226,21,-1,21.02379604,-2.726310994,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.1819,0.01507,1,-121,112,164.8787433,-42.787958,8,0,8,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,41,10,42.20189569,13.706961,38,12,39.84971769,17.52556837,37,14,39.56008089,20.72555887,34,14,36.76955262,22.38013505,31,14,34.0147027,24.30454927,28,16,32.24903099,29.7448813,26,18,31.6227766,34.69515353,24,17,29.41088234,35.31121344,22,15,26.62705391,34.28687698,20,17,26.2488095,40.36453657,21,14,25.23885893,33.69006753,18,14,22.8035085,37.87498365,16,12,20,36.86989765,16,10,18.86796226,32.00538321,15,7,16.55294536,25.01689348,15,8,17,28.07248694,16,5,16.76305461,17.35402464,16,4,16.4924225,14.03624347,14,1,14.03566885,4.08561678,14,1,14.03566885,4.08561678,16,2,16.1245155,7.125016349,12,1,12.04159458,4.763641691,16,1,16.03121954,3.576334375,16,-1,16.03121954,-3.576334375,17,-1,17.02938637,-3.366460663,15,-1,15.03329638,-3.814074834,0,0,0,-,15,-2,15.13274595,-7.594643369,15,1,15.03329638,3.814074834,15,-1,15.03329638,-3.814074834,13,-4,13.60147051,-17.10272897,19,0,19,0,16,-2,16.1245155,-7.125016349,13,-3,13.34166406,-12.99461679,19,-12,22.47220505,-32.27564431,10,-7,12.20655562,-34.9920202,11,-6,12.52996409,-28.61045967,9,-12,15,-53.13010235,10,-7,12.20655562,-34.9920202,7,-10,12.20655562,-55.0079798,6,-12,13.41640786,-63.43494882,6,-14,15.23154621,-66.80140949,5,-16,16.76305461,-72.64597536,5,-19,19.6468827,-75.25643716,5,-19,19.6468827,-75.25643716,6,-21,21.84032967,-74.0546041,4,-23,23.34523506,-80.13419306,7,-26,26.92582404,-74.93151184,4,-26,26.30589288,-81.25383774,6,-31,31.57530681,-79.04593736,4,-32,32.24903099,-82.87498365,7,-33,33.73425559,-78.02386756,6,-35,35.51056181,-80.27242145,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.19549,0.01359,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,12,12,16.97056275,45,20,16,25.61249695,38.65980825,12,15,19.20937271,51.34019175,14,17,22.02271555,50.52754015,17,10,19.72308292,30.46554492,9,11,14.2126704,50.71059314,12,17,20.80865205,54.78240703,14,8,16.1245155,29.7448813,7,15,16.55294536,64.98310652,3,13,13.34166406,77.00538321,12,9,15,36.86989765,3,13,13.34166406,77.00538321,4,11,11.70469991,70.01689348,1,8,8.062257748,82.87498365,5,8,9.433981132,57.99461679,3,10,10.44030651,73.30075577,5,9,10.29563014,60.9453959,3,7,7.615773106,66.80140949,4,7,8.062257748,60.2551187,4,7,8.062257748,60.2551187,4,7,8.062257748,60.2551187,6,6,8.485281374,45,5,6,7.810249676,50.19442891,6,6,8.485281374,45,5,7,8.602325267,54.46232221,7,8,10.63014581,48.81407483,0,0,0,-,5,5,7.071067812,45,5,7,8.602325267,54.46232221,6,6,8.485281374,45,6,5,7.810249676,39.80557109,5,6,7.810249676,50.19442891,6,5,7.810249676,39.80557109,6,6,8.485281374,45,5,5,7.071067812,45,4,5,6.403124237,51.34019175,5,4,6.403124237,38.65980825,5,4,6.403124237,38.65980825,6,1,6.08276253,9.462322208,6,2,6.32455532,18.43494882,6,2,6.32455532,18.43494882,9,0,9,0,8,0,8,0,9,0,9,0,11,-1,11.04536102,-5.194428908,11,-1,11.04536102,-5.194428908,12,-2,12.16552506,-9.462322208,13,-1,13.03840481,-4.398705355,14,-2,14.14213562,-8.130102354,15,-1,15.03329638,-3.814074834,17,0,17,0,18,0,18,0,19,1,19.02629759,3.012787504,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.21914,0.02365,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,9,-13,15.8113883,-55.30484647,10,-12,15.62049935,-50.19442891,9,-12,15,-53.13010235,9,-10,13.45362405,-48.0127875,9,-10,13.45362405,-48.0127875,10,-8,12.80624847,-38.65980825,10,-7,12.20655562,-34.9920202,9,-7,11.40175425,-37.87498365,9,-7,11.40175425,-37.87498365,8,-6,10,-36.86989765,8,-5,9.433981132,-32.00538321,8,-5,9.433981132,-32.00538321,6,-5,7.810249676,-39.80557109,7,-4,8.062257748,-29.7448813,6,-5,7.810249676,-39.80557109,5,-5,7.071067812,-45,5,-5,7.071067812,-45,4,-5,6.403124237,-51.34019175,4,-5,6.403124237,-51.34019175,4,-6,7.211102551,-56.30993247,3,-6,6.708203932,-63.43494882,4,-6,7.211102551,-56.30993247,3,-5,5.830951895,-59.03624347,2,-7,7.280109889,-74.0546041,2,-5,5.385164807,-68.19859051,2,-7,7.280109889,-74.0546041,0,0,0,-,3,-6,6.708203932,-63.43494882,2,-7,7.280109889,-74.0546041,0,-7,7,-,3,-5,5.830951895,-59.03624347,0,-6,6,-,0,-7,7,-,0,-5,5,-,1,-5,5.099019514,-78.69006753,1,-6,6.08276253,-80.53767779,-2,-5,5.385164807,68.19859051,1,-4,4.123105626,-75.96375653,-1,-5,5.099019514,78.69006753,0,-5,5,-,-3,-6,6.708203932,63.43494882,-3,-5,5.830951895,59.03624347,-3,-3,4.242640687,45,-5,-6,7.810249676,50.19442891,-5,-6,7.810249676,50.19442891,-6,-5,7.810249676,39.80557109,-7,-7,9.899494937,45,-7,-6,9.219544457,40.60129465,-8,-7,10.63014581,41.18592517,-9,-8,12.04159458,41.63353934,-9,-8,12.04159458,41.63353934,-9,-9,12.72792206,45,-9,-9,12.72792206,45,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.225,0.00586,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,12,-41,42.72001873,-73.68614757,13,-38,40.16217126,-71.11391263,13,-37,39.2173431,-70.64100582,16,-34,37.57658846,-64.79887635,16,-32,35.77708764,-63.43494882,18,-30,34.98571137,-59.03624347,18,-27,32.44996148,-56.30993247,17,-25,30.23243292,-55.78429787,17,-23,28.60069929,-53.53076561,17,-22,27.80287755,-52.30575953,16,-21,26.40075756,-52.69605172,16,-17,23.34523506,-46.73570459,13,-17,21.40093456,-52.59464337,12,-16,20,-53.13010235,10,-16,18.86796226,-57.99461679,9,-17,19.23538406,-62.10272897,8,-16,17.88854382,-63.43494882,6,-15,16.15549442,-68.19859051,5,-16,16.76305461,-72.64597536,4,-17,17.4642492,-76.75948008,3,-16,16.2788206,-79.38034472,3,-17,17.2626765,-79.9920202,3,-16,16.2788206,-79.38034472,2,-17,17.11724277,-83.29016319,1,-18,18.02775638,-86.82016988,1,-17,17.02938637,-86.63353934,0,0,0,-,0,-16,16,-,0,-17,17,-,-1,-17,17.02938637,86.63353934,-1,-16,16.03121954,86.42366563,-1,-16,16.03121954,86.42366563,-2,-17,17.11724277,83.29016319,-4,-14,14.56021978,74.0546041,-3,-14,14.31782106,77.90524292,-3,-13,13.34166406,77.00538321,-5,-12,13,67.38013505,-6,-12,13.41640786,63.43494882,-7,-11,13.03840481,57.52880771,-7,-8,10.63014581,48.81407483,-11,-10,14.86606875,42.27368901,-11,-10,14.86606875,42.27368901,-14,-8,16.1245155,29.7448813,-15,-8,17,28.07248694,-17,-8,18.78829423,25.20112365,-19,-7,20.24845673,20.22485943,-23,-7,24.04163056,16.92751306,-24,-8,25.29822128,18.43494882,-25,-8,26.2488095,17.74467163,-27,-9,28.46049894,18.43494882,-30,-10,31.6227766,18.43494882,-30,-9,31.32091953,16.69924423,-34,-11,35.73513677,17.92791976,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.24287,0.01787,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-16,-5,16.76305461,17.35402464,-16,-5,16.76305461,17.35402464,-14,-5,14.86606875,19.65382406,-14,-8,16.1245155,29.7448813,-13,-6,14.31782106,24.77514057,-12,-8,14.4222051,33.69006753,-11,-8,13.60147051,36.02737339,-11,-8,13.60147051,36.02737339,-9,-7,11.40175425,37.87498365,-8,-6,10,36.86989765,-9,-7,11.40175425,37.87498365,-9,-6,10.81665383,33.69006753,-7,-6,9.219544457,40.60129465,-7,-5,8.602325267,35.53767779,-7,-4,8.062257748,29.7448813,-8,-3,8.544003745,20.55604522,-7,-4,8.062257748,29.7448813,-6,-2,6.32455532,18.43494882,-6,-2,6.32455532,18.43494882,-8,-2,8.246211251,14.03624347,-6,-2,6.32455532,18.43494882,-6,-1,6.08276253,9.462322208,-7,0,7,0,-6,-1,6.08276253,9.462322208,-7,-2,7.280109889,15.9453959,-8,0,8,0,0,0,0,-,-7,1,7.071067812,-8.130102354,-7,0,7,0,-7,1,7.071067812,-8.130102354,-6,1,6.08276253,-9.462322208,-7,0,7,0,-7,1,7.071067812,-8.130102354,-6,1,6.08276253,-9.462322208,-5,1,5.099019514,-11.30993247,-5,2,5.385164807,-21.80140949,-4,3,5,-36.86989765,-5,3,5.830951895,-30.96375653,-5,3,5.830951895,-30.96375653,-3,3,4.242640687,-45,-4,5,6.403124237,-51.34019175,-2,4,4.472135955,-63.43494882,-2,5,5.385164807,-68.19859051,-2,5,5.385164807,-68.19859051,-2,6,6.32455532,-71.56505118,-1,7,7.071067812,-81.86989765,0,8,8,-,-1,9,9.055385138,-83.65980825,0,9,9,-,0,10,10,-,0,10,10,-,0,11,11,-,-1,12,12.04159458,-85.23635831,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
2.69045,0.44758,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,11,-18,21.09502311,-58.57043439,12,-19,22.47220505,-57.72435569,12,-17,20.80865205,-54.78240703,14,-18,22.8035085,-52.12501635,13,-17,21.40093456,-52.59464337,14,-16,21.26029163,-48.81407483,16,-14,21.26029163,-41.18592517,14,-12,18.43908891,-40.60129465,14,-12,18.43908891,-40.60129465,14,-12,18.43908891,-40.60129465,14,-13,19.10497317,-42.8789036,14,-12,18.43908891,-40.60129465,13,-12,17.69180601,-42.70938996,13,-12,17.69180601,-42.70938996,13,-11,17.02938637,-40.23635831,12,-11,16.2788206,-42.51044708,12,-10,15.62049935,-39.80557109,11,-10,14.86606875,-42.27368901,11,-11,15.55634919,-45,10,-10,14.14213562,-45,11,-11,15.55634919,-45,10,-10,14.14213562,-45,9,-10,13.45362405,-48.0127875,9,-10,13.45362405,-48.0127875,9,-11,14.2126704,-50.71059314,8,-11,13.60147051,-53.97262661,0,0,0,-,8,-10,12.80624847,-51.34019175,7,-11,13.03840481,-57.52880771,7,-11,13.03840481,-57.52880771,6,-10,11.66190379,-59.03624347,7,-11,13.03840481,-57.52880771,6,-11,12.52996409,-61.38954033,6,-10,11.66190379,-59.03624347,5,-10,11.18033989,-63.43494882,5,-9,10.29563014,-60.9453959,4,-9,9.848857802,-66.03751103,4,-9,9.848857802,-66.03751103,3,-9,9.486832981,-71.56505118,3,-10,10.44030651,-73.30075577,3,-9,9.486832981,-71.56505118,2,-8,8.246211251,-75.96375653,1,-9,9.055385138,-83.65980825,1,-8,8.062257748,-82.87498365,1,-8,8.062257748,-82.87498365,0,-7,7,-,-1,-7,7.071067812,81.86989765,-2,-7,7.280109889,74.0546041,-2,-7,7.280109889,74.0546041,-3,-6,6.708203932,63.43494882,-4,-6,7.211102551,56.30993247,-4,-6,7.211102551,56.30993247,-5,-6,7.810249676,50.19442891,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
3.02653,0.33608,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-22,5,22.56102835,-12.80426607,-21,3,21.21320344,-8.130102354,-22,3,22.20360331,-7.765166018,-23,2,23.08679276,-4.969740728,-21,1,21.02379604,-2.726310994,-22,0,22,0,-21,0,21,0,-20,-2,20.09975124,5.710593137,-20,-1,20.02498439,2.862405226,-19,-1,19.02629759,3.012787504,-19,-2,19.10497317,6.009005957,-18,-2,18.11077028,6.340191746,-18,-2,18.11077028,6.340191746,-18,-2,18.11077028,6.340191746,-17,-2,17.11724277,6.709836808,-17,-1,17.02938637,3.366460663,-16,-1,16.03121954,3.576334375,-15,-3,15.29705854,11.30993247,-16,-1,16.03121954,3.576334375,-15,-1,15.03329638,3.814074834,-14,0,14,0,-15,0,15,0,-14,-1,14.03566885,4.08561678,-14,0,14,0,-15,0,15,0,-14,0,14,0,0,0,0,-,-13,1,13.03840481,-4.398705355,-13,2,13.15294644,-8.746162263,-13,2,13.15294644,-8.746162263,-13,2,13.15294644,-8.746162263,-12,1,12.04159458,-4.763641691,-12,2,12.16552506,-9.462322208,-11,3,11.40175425,-15.2551187,-11,2,11.18033989,-10.30484647,-10,2,10.19803903,-11.30993247,-11,3,11.40175425,-15.2551187,-10,3,10.44030651,-16.69924423,-9,3,9.486832981,-18.43494882,-9,3,9.486832981,-18.43494882,-8,4,8.94427191,-26.56505118,-7,3,7.615773106,-23.19859051,-7,4,8.062257748,-29.7448813,-6,5,7.810249676,-39.80557109,-6,4,7.211102551,-33.69006753,-5,4,6.403124237,-38.65980825,-5,5,7.071067812,-45,-5,5,7.071067812,-45,-4,4,5.656854249,-45,-3,5,5.830951895,-59.03624347,-2,5,5.385164807,-68.19859051,-1,6,6.08276253,-80.53767779,-1,6,6.08276253,-80.53767779,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
