real_timestamp,Delta t,Zone,R1,I1,Mag1,Phase1,R2,I2,Mag2,Phase2,R3,I3,Mag3,Phase3,R4,I4,Mag4,Phase4,R5,I5,Mag5,Phase5,R6,I6,Mag6,Phase6,R7,I7,Mag7,Phase7,R8,I8,Mag8,Phase8,R9,I9,Mag9,Phase9,R10,I10,Mag10,Phase10,R11,I11,Mag11,Phase11,R12,I12,Mag12,Phase12,R13,I13,Mag13,Phase13,R14,I14,Mag14,Phase14,R15,I15,Mag15,Phase15,R16,I16,Mag16,Phase16,R17,I17,Mag17,Phase17,R18,I18,Mag18,Phase18,R19,I19,Mag19,Phase19,R20,I20,Mag20,Phase20,R21,I21,Mag21,Phase21,R22,I22,Mag22,Phase22,R23,I23,Mag23,Phase23,R24,I24,Mag24,Phase24,R25,I25,Mag25,Phase25,R26,I26,Mag26,Phase26,R27,I27,Mag27,Phase27,R28,I28,Mag28,Phase28,R29,I29,Mag29,Phase29,R30,I30,Mag30,Phase30,R31,I31,Mag31,Phase31,R32,I32,Mag32,Phase32,R33,I33,Mag33,Phase33,R34,I34,Mag34,Phase34,R35,I35,Mag35,Phase35,R36,I36,Mag36,Phase36,R37,I37,Mag37,Phase37,R38,I38,Mag38,Phase38,R39,I39,Mag39,Phase39,R40,I40,Mag40,Phase40,R41,I41,Mag41,Phase41,R42,I42,Mag42,Phase42,R43,I43,Mag43,Phase43,R44,I44,Mag44,Phase44,R45,I45,Mag45,Phase45,R46,I46,Mag46,Phase46,R47,I47,Mag47,Phase47,R48,I48,Mag48,Phase48,R49,I49,Mag49,Phase49,R50,I50,Mag50,Phase50,R51,I51,Mag51,Phase51,R52,I52,Mag52,Phase52,R53,I53,Mag53,Phase53,R54,I54,Mag54,Phase54,R55,I55,Mag55,Phase55,R56,I56,Mag56,Phase56,R57,I57,Mag57,Phase57,R58,I58,Mag58,Phase58,R59,I59,Mag59,Phase59,R60,I60,Mag60,Phase60,R61,I61,Mag61,Phase61,R62,I62,Mag62,Phase62,R63,I63,Mag63,Phase63,R64,I64,Mag64,Phase64
0.641316,-,1,28,-64,69.85699679,-66.37062227,1,0,1,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-45,2,45.04442252,-2.54480438,-43,-1,43.01162634,1.332219854,-41,-3,41.10960958,4.184916125,-38,-4,38.20994635,6.009005957,-35,-6,35.51056181,9.727578551,-32,-6,32.55764119,10.61965528,-30,-6,30.59411708,11.30993247,-28,-6,28.63564213,12.09475708,-25,-5,25.49509757,11.30993247,-23,-4,23.34523506,9.865806943,-23,-3,23.19482701,7.431407971,-22,-1,22.02271555,2.602562202,-20,0,20,0,-20,1,20.02498439,-2.862405226,-19,2,19.10497317,-6.009005957,-19,3,19.23538406,-8.972626615,-19,3,19.23538406,-8.972626615,-18,4,18.43908891,-12.52880771,-19,4,19.41648784,-11.88865804,-19,5,19.6468827,-14.74356284,-18,5,18.68154169,-15.524111,-18,5,18.68154169,-15.524111,-18,5,18.68154169,-15.524111,-18,6,18.97366596,-18.43494882,-18,6,18.97366596,-18.43494882,-18,6,18.97366596,-18.43494882,0,0,0,-,-16,5,16.76305461,-17.35402464,-16,5,16.76305461,-17.35402464,-15,5,15.8113883,-18.43494882,-14,5,14.86606875,-19.65382406,-13,5,13.92838828,-21.03751103,-12,5,13,-22.61986495,-11,5,12.08304597,-24.44395478,-10,5,11.18033989,-26.56505118,-9,5,10.29563014,-29.0546041,-8,5,9.433981132,-32.00538321,-7,5,8.602325267,-35.53767779,-6,4,7.211102551,-33.69006753,-4,4,5.656854249,-45,-3,5,5.830951895,-59.03624347,-1,3,3.16227766,-71.56505118,0,4,4,-,2,4,4.472135955,63.43494882,4,4,5.656854249,45,6,4,7.211102551,33.69006753,7,5,8.602325267,35.53767779,9,5,10.29563014,29.0546041,11,6,12.52996409,28.61045967,13,6,14.31782106,24.77514057,15,6,16.15549442,21.80140949,16,7,17.4642492,23.62937773,18,8,19.6977156,23.96248897,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.647825,0.006509,1,-99,-48,110.0227249,25.86635679,9,0,9,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-48,-17,50.92150823,19.50244851,-45,-21,49.65883607,25.01689348,-41,-20,45.61797891,26.00334584,-40,-21,45.17742799,27.69947281,-36,-20,41.18252056,29.0546041,-31,-21,37.44329045,34.11447295,-29,-19,34.66987165,33.23171107,-27,-17,31.90611227,32.19573393,-25,-16,29.68164416,32.61924307,-23,-15,27.45906044,33.11134196,-24,-13,27.29468813,28.44292862,-23,-10,25.07987241,23.49856568,-23,-10,25.07987241,23.49856568,-23,-7,24.04163056,16.92751306,-20,-7,21.1896201,19.29004622,-22,-5,22.56102835,12.80426607,-23,-5,23.53720459,12.26477373,-22,-4,22.36067977,10.30484647,-22,-3,22.20360331,7.765166018,-22,-2,22.09072203,5.194428908,-21,-2,21.09502311,5.440332031,-22,-2,22.09072203,5.194428908,-20,-3,20.22374842,8.53076561,-22,-1,22.02271555,2.602562202,-21,-1,21.02379604,2.726310994,-22,0,22,0,0,0,0,-,-19,-2,19.10497317,6.009005957,-19,-2,19.10497317,6.009005957,-19,-2,19.10497317,6.009005957,-17,-1,17.02938637,3.366460663,-15,1,15.03329638,-3.814074834,-15,1,15.03329638,-3.814074834,-15,0,15,0,-13,2,13.15294644,-8.746162263,-17,1,17.02938637,-3.366460663,-14,-1,14.03566885,4.08561678,-9,1,9.055385138,-6.340191746,-7,3,7.615773106,-23.19859051,-8,3,8.544003745,-20.55604522,-5,4,6.403124237,-38.65980825,-3,3,4.242640687,-45,-2,3,3.605551275,-56.30993247,1,3,3.16227766,71.56505118,3,5,5.830951895,59.03624347,3,6,6.708203932,63.43494882,4,7,8.062257748,60.2551187,8,8,11.3137085,45,9,9,12.72792206,45,12,11,16.2788206,42.51044708,15,11,18.60107524,36.25383774,16,13,20.61552813,39.09385889,17,14,22.02271555,39.47245985,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.669436,0.021611,1,-121,112,164.8787433,-42.787958,8,0,8,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,25,37,44.65422712,55.95406264,22,38,43.9089968,59.93141718,19,36,40.70626487,62.17590362,17,36,39.81205847,64.72227776,13,32,34.53983208,67.89055166,11,31,32.89376841,70.46334506,9,29,30.3644529,72.7585406,8,27,28.16025568,73.49563862,8,24,25.29822128,71.56505118,7,21,22.13594362,71.56505118,8,19,20.61552813,67.16634582,8,18,19.6977156,66.03751103,9,16,18.35755975,60.64224646,9,15,17.49285568,59.03624347,10,13,16.40121947,52.43140797,11,13,17.02938637,49.76364169,11,12,16.2788206,47.48955292,11,11,15.55634919,45,12,11,16.2788206,42.51044708,13,11,17.02938637,40.23635831,13,10,16.40121947,37.56859203,14,10,17.20465053,35.53767779,13,10,16.40121947,37.56859203,13,9,15.8113883,34.69515353,14,8,16.1245155,29.7448813,14,8,16.1245155,29.7448813,0,0,0,-,13,8,15.26433752,31.60750225,12,7,13.89244399,30.25643716,12,7,13.89244399,30.25643716,11,6,12.52996409,28.61045967,11,5,12.08304597,24.44395478,11,4,11.70469991,19.98310652,10,3,10.44030651,16.69924423,10,3,10.44030651,16.69924423,9,2,9.219544457,12.52880771,8,2,8.246211251,14.03624347,8,1,8.062257748,7.125016349,8,0,8,0,6,-1,6.08276253,-9.462322208,6,-3,6.708203932,-26.56505118,5,-3,5.830951895,-30.96375653,4,-4,5.656854249,-45,2,-6,6.32455532,-71.56505118,2,-7,7.280109889,-74.0546041,1,-9,9.055385138,-83.65980825,0,-10,10,-,0,-11,11,-,-1,-13,13.03840481,85.60129465,-3,-16,16.2788206,79.38034472,-3,-17,17.2626765,79.9920202,-3,-19,19.23538406,81.02737339,-4,-20,20.39607805,78.69006753,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.684668,0.015232,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-25,-24,34.6554469,43.83086067,-22,-26,34.05877273,49.76364169,-20,-24,31.2409987,50.19442891,-18,-24,30,53.13010235,-15,-22,26.62705391,55.71312302,-13,-22,25.55386468,59.42077313,-11,-21,23.70653918,62.35402464,-9,-19,21.02379604,64.65382406,-9,-18,20.1246118,63.43494882,-9,-16,18.35755975,60.64224646,-10,-13,16.40121947,52.43140797,-9,-12,15,53.13010235,-10,-11,14.86606875,47.72631099,-9,-10,13.45362405,48.0127875,-9,-8,12.04159458,41.63353934,-11,-8,13.60147051,36.02737339,-10,-7,12.20655562,34.9920202,-10,-6,11.66190379,30.96375653,-10,-5,11.18033989,26.56505118,-11,-5,12.08304597,24.44395478,-11,-5,12.08304597,24.44395478,-11,-4,11.70469991,19.98310652,-11,-4,11.70469991,19.98310652,-11,-3,11.40175425,15.2551187,-11,-3,11.40175425,15.2551187,-11,-2,11.18033989,10.30484647,0,0,0,-,-10,-2,10.19803903,11.30993247,-10,-1,10.04987562,5.710593137,-10,0,10,0,-9,0,9,0,-9,0,9,0,-8,1,8.062257748,-7.125016349,-8,1,8.062257748,-7.125016349,-7,1,7.071067812,-8.130102354,-6,1,6.08276253,-9.462322208,-6,2,6.32455532,-18.43494882,-6,3,6.708203932,-26.56505118,-5,3,5.830951895,-30.96375653,-4,4,5.656854249,-45,-3,4,5,-53.13010235,-2,4,4.472135955,-63.43494882,-1,5,5.099019514,-78.69006753,0,6,6,-,1,6,6.08276253,80.53767779,2,7,7.280109889,74.0546041,3,7,7.615773106,66.80140949,3,9,9.486832981,71.56505118,5,9,10.29563014,60.9453959,6,10,11.66190379,59.03624347,8,11,13.60147051,53.97262661,8,11,13.60147051,53.97262661,9,12,15,53.13010235,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.706207,0.021539,1,-122,-31,125.876924,14.25703536,23,0,23,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-37,28,46.40043103,-37.11686068,-37,25,44.65422712,-34.04593736,-36,21,41.67733197,-30.25643716,-35,19,39.8246155,-28.49563862,-33,15,36.24913792,-24.44395478,-32,13,34.53983208,-22.10944834,-29,12,31.38470965,-22.4794344,-27,10,28.7923601,-20.32313683,-24,9,25.63201124,-20.55604522,-22,9,23.76972865,-22.24902366,-21,9,22.84731932,-23.19859051,-18,9,20.1246118,-26.56505118,-16,9,18.35755975,-29.35775354,-14,9,16.64331698,-32.73522627,-13,9,15.8113883,-34.69515353,-12,10,15.62049935,-39.80557109,-12,10,15.62049935,-39.80557109,-10,10,14.14213562,-45,-9,10,13.45362405,-48.0127875,-8,11,13.60147051,-53.97262661,-7,11,13.03840481,-57.52880771,-7,11,13.03840481,-57.52880771,-6,10,11.66190379,-59.03624347,-5,11,12.08304597,-65.55604522,-4,11,11.70469991,-70.01689348,-4,10,10.77032961,-68.19859051,0,0,0,-,-3,9,9.486832981,-71.56505118,-2,9,9.219544457,-77.47119229,-1,9,9.055385138,-83.65980825,0,7,7,-,1,7,7.071067812,81.86989765,1,6,6.08276253,80.53767779,2,6,6.32455532,71.56505118,3,5,5.830951895,59.03624347,4,4,5.656854249,45,4,4,5.656854249,45,5,2,5.385164807,21.80140949,6,1,6.08276253,9.462322208,7,0,7,0,8,-1,8.062257748,-7.125016349,8,-2,8.246211251,-14.03624347,10,-3,10.44030651,-16.69924423,10,-5,11.18033989,-26.56505118,12,-7,13.89244399,-30.25643716,13,-7,14.76482306,-28.30075577,13,-9,15.8113883,-34.69515353,15,-10,18.02775638,-33.69006753,16,-11,19.41648784,-34.50852299,17,-13,21.40093456,-37.40535663,19,-15,24.20743687,-38.29016319,19,-16,24.8394847,-40.10090755,21,-17,27.01851217,-38.99099404,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.729517,0.02331,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-18,44,47.5394573,-67.75097634,-19,40,44.28317965,-64.59228189,-20,39,43.829214,-62.8503183,-20,35,40.31128874,-60.2551187,-21,32,38.27531842,-56.72511202,-19,28,33.83784863,-55.84030545,-18,26,31.6227766,-55.30484647,-17,23,28.60069929,-53.53076561,-15,21,25.8069758,-54.46232221,-15,20,25,-53.13010235,-12,19,22.47220505,-57.72435569,-11,17,20.24845673,-57.09475708,-9,16,18.35755975,-60.64224646,-7,15,16.55294536,-64.98310652,-6,13,14.31782106,-65.22485943,-4,15,15.5241747,-75.06858282,-3,14,14.31782106,-77.90524292,-2,13,13.15294644,-81.25383774,-1,13,13.03840481,-85.60129465,0,13,13,-,1,12,12.04159458,85.23635831,1,12,12.04159458,85.23635831,2,11,11.18033989,79.69515353,1,11,11.04536102,84.80557109,2,10,10.19803903,78.69006753,2,9,9.219544457,77.47119229,0,0,0,-,3,7,7.615773106,66.80140949,3,7,7.615773106,66.80140949,2,6,6.32455532,71.56505118,3,4,5,53.13010235,3,3,4.242640687,45,2,2,2.828427125,45,2,0,2,0,2,0,2,0,1,-2,2.236067977,-63.43494882,1,-3,3.16227766,-71.56505118,0,-4,4,-,0,-5,5,-,0,-7,7,-,-2,-8,8.246211251,75.96375653,-3,-10,10.44030651,73.30075577,-4,-11,11.70469991,70.01689348,-5,-13,13.92838828,68.96248897,-6,-14,15.23154621,66.80140949,-7,-16,17.4642492,66.37062227,-9,-17,19.23538406,62.10272897,-10,-19,21.47091055,62.2414594,-10,-20,22.36067977,63.43494882,-12,-23,25.94224354,62.44718842,-13,-25,28.17800561,62.52556837,-13,-26,29.06888371,63.43494882,-15,-27,30.88689042,60.9453959,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.854085,0.124568,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,10,12,15.62049935,50.19442891,9,11,14.2126704,50.71059314,8,12,14.4222051,56.30993247,8,11,13.60147051,53.97262661,7,11,13.03840481,57.52880771,6,10,11.66190379,59.03624347,6,10,11.66190379,59.03624347,6,9,10.81665383,56.30993247,5,8,9.433981132,57.99461679,5,8,9.433981132,57.99461679,5,7,8.602325267,54.46232221,4,6,7.211102551,56.30993247,5,6,7.810249676,50.19442891,5,5,7.071067812,45,5,5,7.071067812,45,5,4,6.403124237,38.65980825,5,4,6.403124237,38.65980825,5,3,5.830951895,30.96375653,5,3,5.830951895,30.96375653,5,3,5.830951895,30.96375653,5,3,5.830951895,30.96375653,5,2,5.385164807,21.80140949,4,2,4.472135955,26.56505118,5,2,5.385164807,21.80140949,5,2,5.385164807,21.80140949,5,2,5.385164807,21.80140949,0,0,0,-,4,1,4.123105626,14.03624347,4,1,4.123105626,14.03624347,4,1,4.123105626,14.03624347,3,1,3.16227766,18.43494882,3,1,3.16227766,18.43494882,3,1,3.16227766,18.43494882,3,1,3.16227766,18.43494882,2,1,2.236067977,26.56505118,2,1,2.236067977,26.56505118,1,1,1.414213562,45,1,1,1.414213562,45,1,1,1.414213562,45,1,1,1.414213562,45,0,1,1,-,0,1,1,-,-2,2,2.828427125,-45,-1,1,1.414213562,-45,-2,1,2.236067977,-26.56505118,-2,2,2.828427125,-45,-3,2,3.605551275,-33.69006753,-3,2,3.605551275,-33.69006753,-3,2,3.605551275,-33.69006753,-4,3,5,-36.86989765,-4,3,5,-36.86989765,-4,3,5,-36.86989765,-5,3,5.830951895,-30.96375653,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
0.85942,0.005335,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-24,-40,46.64761516,59.03624347,-22,-40,45.65084884,61.18920626,-21,-39,44.29446918,61.69924423,-20,-38,42.94182111,62.2414594,-17,-36,39.81205847,64.72227776,-16,-34,37.57658846,64.79887635,-15,-33,36.24913792,65.55604522,-14,-30,33.10589071,64.98310652,-14,-28,31.30495168,63.43494882,-12,-26,28.63564213,65.22485943,-13,-25,28.17800561,62.52556837,-13,-23,26.41968963,60.524111,-13,-20,23.85372088,56.97613244,-13,-19,23.02172887,55.61965528,-13,-18,22.20360331,54.16234705,-15,-16,21.9317122,46.84761027,-14,-15,20.51828453,46.97493401,-14,-14,19.79898987,45,-15,-13,19.84943324,40.91438322,-15,-12,19.20937271,38.65980825,-15,-10,18.02775638,33.69006753,-15,-10,18.02775638,33.69006753,-14,-9,16.64331698,32.73522627,-15,-9,17.49285568,30.96375653,-15,-8,17,28.07248694,-15,-8,17,28.07248694,0,0,0,-,-13,-7,14.76482306,28.30075577,-13,-6,14.31782106,24.77514057,-13,-6,14.31782106,24.77514057,-12,-5,13,22.61986495,-11,-5,12.08304597,24.44395478,-10,-5,11.18033989,26.56505118,-9,-4,9.848857802,23.96248897,-8,-4,8.94427191,26.56505118,-7,-4,8.062257748,29.7448813,-6,-3,6.708203932,26.56505118,-6,-4,7.211102551,33.69006753,-4,-4,5.656854249,45,-3,-4,5,53.13010235,-2,-4,4.472135955,63.43494882,-1,-5,5.099019514,78.69006753,0,-5,5,-,2,-6,6.32455532,-71.56505118,3,-6,6.708203932,-63.43494882,4,-6,7.211102551,-56.30993247,5,-7,8.602325267,-54.46232221,6,-7,9.219544457,-49.39870535,8,-8,11.3137085,-45,9,-9,12.72792206,-45,10,-10,14.14213562,-45,11,-10,14.86606875,-42.27368901,13,-11,17.02938637,-40.23635831,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.18044,0.32102,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-16,9,18.35755975,-29.35775354,-16,8,17.88854382,-26.56505118,-15,7,16.55294536,-25.01689348,-16,6,17.08800749,-20.55604522,-14,5,14.86606875,-19.65382406,-14,4,14.56021978,-15.9453959,-14,4,14.56021978,-15.9453959,-13,4,13.60147051,-17.10272897,-12,4,12.64911064,-18.43494882,-12,3,12.36931688,-14.03624347,-11,3,11.40175425,-15.2551187,-11,3,11.40175425,-15.2551187,-10,3,10.44030651,-16.69924423,-9,3,9.486832981,-18.43494882,-9,4,9.848857802,-23.96248897,-9,4,9.848857802,-23.96248897,-9,4,9.848857802,-23.96248897,-8,4,8.94427191,-26.56505118,-8,4,8.94427191,-26.56505118,-7,5,8.602325267,-35.53767779,-8,5,9.433981132,-32.00538321,-7,5,8.602325267,-35.53767779,-7,4,8.062257748,-29.7448813,-7,4,8.062257748,-29.7448813,-7,4,8.062257748,-29.7448813,-7,4,8.062257748,-29.7448813,0,0,0,-,-6,4,7.211102551,-33.69006753,-6,4,7.211102551,-33.69006753,-5,4,6.403124237,-38.65980825,-5,4,6.403124237,-38.65980825,-5,4,6.403124237,-38.65980825,-4,4,5.656854249,-45,-4,4,5.656854249,-45,-4,3,5,-36.86989765,-3,3,4.242640687,-45,-3,3,4.242640687,-45,-3,3,4.242640687,-45,-3,3,4.242640687,-45,-2,3,3.605551275,-56.30993247,-1,2,2.236067977,-63.43494882,-1,2,2.236067977,-63.43494882,-1,2,2.236067977,-63.43494882,0,2,2,-,0,1,1,-,1,1,1.414213562,45,1,1,1.414213562,45,2,1,2.236067977,26.56505118,2,1,2.236067977,26.56505118,3,1,3.16227766,18.43494882,3,1,3.16227766,18.43494882,4,0,4,0,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
1.68539,0.50495,1,82,-96,126.2537128,-49.49715161,4,0,4,0,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,-44,-5,44.28317965,6.483073693,-41,-6,41.43669871,8.32565033,-41,-7,41.59326869,9.68878656,-38,-7,38.63935817,10.43747535,-36,-8,36.87817783,12.52880771,-33,-9,34.20526275,15.2551187,-31,-8,32.01562119,14.4702941,-29,-8,30.08321791,15.42216132,-27,-7,27.89265136,14.53445508,-26,-7,26.92582404,15.06848816,-25,-6,25.70992026,13.49573328,-23,-4,23.34523506,9.865806943,-22,-4,22.36067977,10.30484647,-20,-3,20.22374842,8.53076561,-19,-2,19.10497317,6.009005957,-20,0,20,0,-18,0,18,0,-17,1,17.02938637,-3.366460663,-16,1,16.03121954,-3.576334375,-16,2,16.1245155,-7.125016349,-15,3,15.29705854,-11.30993247,-15,3,15.29705854,-11.30993247,-14,3,14.31782106,-12.09475708,-14,3,14.31782106,-12.09475708,-13,3,13.34166406,-12.99461679,-12,4,12.64911064,-18.43494882,0,0,0,-,-11,3,11.40175425,-15.2551187,-10,4,10.77032961,-21.80140949,-9,3,9.486832981,-18.43494882,-9,3,9.486832981,-18.43494882,-8,2,8.246211251,-14.03624347,-7,2,7.280109889,-15.9453959,-6,1,6.08276253,-9.462322208,-5,1,5.099019514,-11.30993247,-4,0,4,0,-4,0,4,0,-3,-1,3.16227766,18.43494882,-2,-2,2.828427125,45,-1,-3,3.16227766,71.56505118,0,-4,4,-,0,-5,5,-,1,-6,6.08276253,-80.53767779,2,-7,7.280109889,-74.0546041,2,-9,9.219544457,-77.47119229,3,-10,10.44030651,-73.30075577,3,-11,11.40175425,-74.7448813,4,-12,12.64911064,-71.56505118,4,-13,13.60147051,-72.89727103,6,-15,16.15549442,-68.19859051,6,-17,18.02775638,-70.55996517,6,-17,18.02775638,-70.55996517,6,-18,18.97366596,-71.56505118,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-
