real_timestamp,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
2.46672,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-23,23.08679276,2,-23,23.08679276,0,-25,25,2,-25,25.07987241,3,-27,27.16615541,5,-27,27.45906044,6,-25,25.70992026,6,-26,26.68332813,7,-27,27.89265136,9,-26,27.51363298,9,-25,26.57066051,10,-24,26,10,-22,24.16609195,10,-20,22.36067977,9,-18,20.1246118,8,-18,19.6977156,8,-16,17.88854382,6,-14,15.23154621,4,-12,12.64911064,4,-12,12.64911064,2,-12,12.16552506,0,-12,12,1,-12,12.04159458,-2,-11,11.18033989,-3,-11,11.40175425,-4,-10,10.77032961,0,0,0,-6,-9,10.81665383,-7,-9,11.40175425,-8,-8,11.3137085,-9,-8,12.04159458,-10,-7,12.20655562,-11,-7,13.03840481,-13,-6,14.31782106,-14,-6,15.23154621,-14,-5,14.86606875,-16,-5,16.76305461,-17,-4,17.4642492,-16,-3,16.2788206,-19,-3,19.23538406,-20,-3,20.22374842,-21,-3,21.21320344,-22,-3,22.20360331,-24,-2,24.08318916,-25,-3,25.17935662,-27,-2,27.07397274,-28,-3,28.16025568,-29,-3,29.15475947,-29,-2,29.06888371,-30,-4,30.2654919,-32,-4,32.24903099,-31,-5,31.40063694,-31,-5,31.40063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.47369,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,47,53.71219601,36,64,73.430239,19,64,66.76076692,16,72,73.75635566,18,71,73.24616031,27,66,71.30918594,27,73,77.83315489,17,58,60.44005295,32,81,87.09190548,17,48,50.92150823,25,85,88.60022573,8,88,88.36288814,25,65,69.64194139,26,78,82.21921916,15,73,74.52516354,16,104,105.2235715,0,83,83,-2,70,70.0285656,23,59,63.3245608,5,45,45.27692569,34,54,63.81222453,28,55,61.7170965,33,39,51.0881591,34,49,59.6405902,31,42,52.20153254,8,38,38.83297568,0,0,0,62,26,67.23094526,55,17,57.56735186,57,25,62.24146528,81,5,81.15417426,54,16,56.32051136,76,9,76.53103945,54,10,54.91812087,45,-8,45.70557953,85,4,85.0940656,49,6,49.36598019,70,-17,72.03471385,65,-29,71.1758386,80,-15,81.39410298,90,-25,93.40770846,79,-18,81.0246876,88,-28,92.34717104,96,-31,100.8811182,88,-31,93.30058949,92,-32,97.4063653,100,-41,108.078675,99,-40,106.7754653,109,-35,114.4814395,104,-39,111.0720487,119,-42,126.1942946,108,-38,114.4901743,112,-34,117.0469991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.49805,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,-3,20.22374842,21,-3,21.21320344,22,-3,22.20360331,23,-3,23.19482701,24,-2,24.08318916,24,-1,24.0208243,26,0,26,25,2,25.07987241,25,2,25.07987241,25,4,25.3179778,24,4,24.33105012,23,5,23.53720459,21,5,21.58703314,20,5,20.61552813,17,5,17.72004515,18,4,18.43908891,16,3,16.2788206,14,2,14.14213562,14,1,14.03566885,13,0,13,12,-1,12.04159458,12,-2,12.16552506,11,-3,11.40175425,11,-5,12.08304597,10,-6,11.66190379,10,-7,12.20655562,0,0,0,9,-9,12.72792206,9,-10,13.45362405,8,-11,13.60147051,8,-12,14.4222051,8,-12,14.4222051,7,-14,15.65247584,7,-15,16.55294536,7,-16,17.4642492,5,-16,16.76305461,6,-18,18.97366596,5,-20,20.61552813,5,-20,20.61552813,4,-21,21.37755833,5,-22,22.56102835,4,-24,24.33105012,4,-25,25.3179778,4,-26,26.30589288,4,-27,27.29468813,5,-28,28.44292531,5,-28,28.44292531,6,-29,29.61418579,5,-29,29.42787794,7,-31,31.78049716,7,-32,32.75667871,7,-31,31.78049716,8,-31,32.01562119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5215,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-9,5,10.29563014,-10,5,11.18033989,-11,5,12.08304597,-12,5,13,-12,4,12.64911064,-13,5,13.92838828,-13,4,13.60147051,-14,3,14.31782106,-13,2,13.15294644,-14,2,14.14213562,-14,2,14.14213562,-13,1,13.03840481,-13,1,13.03840481,-13,0,13,-11,0,11,-11,0,11,-10,0,10,-9,0,9,-9,1,9.055385138,-9,2,9.219544457,-9,1,9.055385138,-8,2,8.246211251,-7,3,7.615773106,-7,3,7.615773106,-7,4,8.062257748,-6,4,7.211102551,0,0,0,-6,5,7.810249676,-6,5,7.810249676,-5,6,7.810249676,-5,6,7.810249676,-5,7,8.602325267,-5,8,9.433981132,-5,8,9.433981132,-4,8,8.94427191,-4,9,9.848857802,-4,9,9.848857802,-3,10,10.44030651,-3,11,11.40175425,-3,12,12.36931688,-3,12,12.36931688,-3,12,12.36931688,-3,13,13.34166406,-2,14,14.14213562,-3,15,15.29705854,-3,15,15.29705854,-3,15,15.29705854,-3,16,16.2788206,-3,16,16.2788206,-3,16,16.2788206,-3,17,17.2626765,-4,17,17.4642492,-4,17,17.4642492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.53989,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,-9,9.486832981,4,-11,11.70469991,5,-11,12.08304597,6,-12,13.41640786,7,-11,13.03840481,8,-11,13.60147051,9,-12,15,9,-10,13.45362405,9,-11,14.2126704,9,-10,13.45362405,10,-9,13.45362405,10,-9,13.45362405,9,-8,12.04159458,10,-7,12.20655562,9,-7,11.40175425,9,-7,11.40175425,8,-6,10,7,-6,9.219544457,6,-7,9.219544457,6,-6,8.485281374,5,-7,8.602325267,5,-7,8.602325267,4,-7,8.062257748,3,-7,7.615773106,3,-7,7.615773106,3,-8,8.544003745,0,0,0,1,-8,8.062257748,1,-9,9.055385138,1,-9,9.055385138,0,-8,8,-1,-9,9.055385138,-1,-10,10.04987562,-1,-9,9.055385138,-2,-10,10.19803903,-3,-10,10.44030651,-3,-10,10.44030651,-3,-11,11.40175425,-4,-11,11.70469991,-4,-11,11.70469991,-5,-12,13,-5,-12,13,-6,-13,14.31782106,-7,-13,14.76482306,-7,-14,15.65247584,-8,-14,16.1245155,-8,-14,16.1245155,-8,-15,17,-8,-16,17.88854382,-8,-16,17.88854382,-8,-17,18.78829423,-8,-17,18.78829423,-8,-17,18.78829423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.55859,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-11,-1,11.04536102,-11,-2,11.18033989,-13,-2,13.15294644,-13,-2,13.15294644,-14,-4,14.56021978,-13,-4,13.60147051,-14,-6,15.23154621,-13,-6,14.31782106,-13,-6,14.31782106,-13,-7,14.76482306,-12,-7,13.89244399,-11,-8,13.60147051,-11,-7,13.03840481,-11,-8,13.60147051,-9,-7,11.40175425,-9,-6,10.81665383,-8,-6,10,-8,-6,10,-8,-4,8.94427191,-7,-5,8.602325267,-8,-4,8.94427191,-8,-3,8.544003745,-7,-3,7.615773106,-7,-2,7.280109889,-8,-1,8.062257748,-7,0,7,0,0,0,-8,0,8,-8,1,8.062257748,-7,2,7.280109889,-8,3,8.544003745,-8,3,8.544003745,-8,3,8.544003745,-8,4,8.94427191,-8,4,8.94427191,-8,4,8.94427191,-8,5,9.433981132,-8,7,10.63014581,-8,7,10.63014581,-8,7,10.63014581,-8,8,11.3137085,-9,9,12.72792206,-8,9,12.04159458,-8,11,13.60147051,-9,10,13.45362405,-10,11,14.86606875,-11,11,15.55634919,-10,12,15.62049935,-11,13,17.02938637,-11,13,17.02938637,-10,13,16.40121947,-11,13,17.02938637,-12,13,17.69180601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00811,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,-6,19.92485885,20,-6,20.88061302,21,-6,21.84032967,22,-5,22.56102835,22,-5,22.56102835,23,-4,23.34523506,23,-3,23.19482701,23,-2,23.08679276,22,-1,22.02271555,22,0,22,22,0,22,21,0,21,19,1,19.02629759,18,1,18.02775638,16,1,16.03121954,15,0,15,14,0,14,12,-1,12.04159458,11,-2,11.18033989,11,-3,11.40175425,10,-4,10.77032961,9,-5,10.29563014,9,-6,10.81665383,8,-8,11.3137085,8,-9,12.04159458,8,-10,12.80624847,0,0,0,7,-12,13.89244399,7,-13,14.76482306,7,-14,15.65247584,6,-15,16.15549442,6,-15,16.15549442,6,-17,18.02775638,6,-17,18.02775638,5,-18,18.68154169,5,-18,18.68154169,5,-20,20.61552813,4,-21,21.37755833,4,-21,21.37755833,4,-22,22.36067977,5,-24,24.51530134,5,-24,24.51530134,5,-25,25.49509757,5,-26,26.47640459,5,-27,27.45906044,6,-27,27.65863337,6,-27,27.65863337,7,-28,28.86173938,7,-28,28.86173938,7,-29,29.83286778,7,-30,30.8058436,8,-29,30.08321791,9,-29,30.3644529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.02661,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,13,-13,0,13,-14,0,14,-14,0,14,-15,0,15,-15,-1,15.03329638,-14,-1,14.03566885,-15,-2,15.13274595,-14,-2,14.14213562,-15,-3,15.29705854,-14,-3,14.31782106,-13,-4,13.60147051,-13,-4,13.60147051,-12,-4,12.64911064,-10,-4,10.77032961,-11,-3,11.40175425,-10,-2,10.19803903,-9,-2,9.219544457,-8,-2,8.246211251,-8,0,8,-8,0,8,-7,1,7.071067812,-7,1,7.071067812,-7,2,7.280109889,-7,3,7.615773106,-6,3,6.708203932,0,0,0,-6,5,7.810249676,-6,5,7.810249676,-6,6,8.485281374,-6,7,9.219544457,-6,7,9.219544457,-5,8,9.433981132,-6,8,10,-6,9,10.81665383,-5,9,10.29563014,-5,10,11.18033989,-5,10,11.18033989,-5,11,12.08304597,-5,11,12.08304597,-4,12,12.64911064,-5,13,13.92838828,-5,13,13.92838828,-4,15,15.5241747,-5,14,14.86606875,-5,15,15.8113883,-5,15,15.8113883,-6,16,17.08800749,-5,16,16.76305461,-6,17,18.02775638,-6,16,17.08800749,-7,17,18.38477631,-7,15,16.55294536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50773,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-5,-11,12.08304597,-6,-12,13.41640786,-6,-13,14.31782106,-6,-13,14.31782106,-6,-14,15.23154621,-5,-14,14.86606875,-4,-15,15.5241747,-3,-16,16.2788206,-3,-16,16.2788206,-3,-15,15.29705854,-2,-16,16.1245155,-2,-14,14.14213562,-1,-14,14.03566885,-1,-14,14.03566885,-1,-12,12.04159458,-1,-11,11.04536102,0,-11,11,-1,-10,10.04987562,-2,-9,9.219544457,-2,-8,8.246211251,-3,-8,8.544003745,-4,-8,8.94427191,-4,-7,8.062257748,-5,-6,7.810249676,-5,-6,7.810249676,-6,-6,8.485281374,0,0,0,-7,-6,9.219544457,-7,-6,9.219544457,-8,-5,9.433981132,-8,-5,9.433981132,-9,-4,9.848857802,-10,-4,10.77032961,-10,-4,10.77032961,-11,-4,11.70469991,-11,-3,11.40175425,-12,-3,12.36931688,-12,-3,12.36931688,-13,-3,13.34166406,-14,-2,14.14213562,-14,-2,14.14213562,-14,-2,14.14213562,-15,-2,15.13274595,-16,-2,16.1245155,-16,-2,16.1245155,-17,-3,17.2626765,-17,-2,17.11724277,-18,-3,18.24828759,-18,-3,18.24828759,-18,-4,18.43908891,-19,-3,19.23538406,-19,-4,19.41648784,-19,-4,19.41648784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.51441,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-1,-18,18.02775638,2,-20,20.09975124,1,-20,20.02498439,0,-22,22,2,-22,22.09072203,4,-22,22.36067977,5,-23,23.53720459,6,-21,21.84032967,6,-22,22.8035085,7,-20,21.1896201,7,-21,22.13594362,8,-19,20.61552813,8,-19,20.61552813,7,-16,17.4642492,7,-15,16.55294536,6,-15,16.15549442,6,-14,15.23154621,4,-12,12.64911064,3,-13,13.34166406,2,-12,12.16552506,1,-11,11.04536102,0,-12,12,-1,-11,11.04536102,-2,-12,12.16552506,-3,-11,11.40175425,-4,-11,11.70469991,0,0,0,-6,-10,11.66190379,-7,-10,12.20655562,-8,-10,12.80624847,-9,-10,13.45362405,-9,-10,13.45362405,-10,-11,14.86606875,-11,-10,14.86606875,-12,-10,15.62049935,-12,-10,15.62049935,-13,-10,16.40121947,-15,-10,18.02775638,-15,-10,18.02775638,-16,-9,18.35755975,-17,-10,19.72308292,-18,-10,20.59126028,-19,-11,21.9544984,-20,-10,22.36067977,-21,-11,23.70653918,-21,-12,24.18677324,-21,-12,24.18677324,-22,-13,25.55386468,-22,-12,25.05992817,-22,-13,25.55386468,-24,-13,27.29468813,-23,-13,26.41968963,-23,-14,26.92582404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94974,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-13,13.60147051,-4,-14,14.56021978,-4,-15,15.5241747,-3,-15,15.29705854,-3,-16,16.2788206,-2,-16,16.1245155,-1,-17,17.02938637,-1,-17,17.02938637,0,-17,17,1,-16,16.03121954,2,-15,15.13274595,2,-15,15.13274595,2,-14,14.14213562,2,-14,14.14213562,2,-13,13.15294644,1,-12,12.04159458,1,-11,11.04536102,0,-11,11,0,-11,11,-1,-10,10.04987562,-2,-10,10.19803903,-2,-10,10.19803903,-2,-10,10.19803903,-3,-10,10.44030651,-4,-10,10.77032961,-5,-10,11.18033989,0,0,0,-6,-10,11.66190379,-6,-10,11.66190379,-7,-10,12.20655562,-8,-10,12.80624847,-8,-10,12.80624847,-8,-10,12.80624847,-9,-10,13.45362405,-9,-10,13.45362405,-9,-10,13.45362405,-10,-10,14.14213562,-11,-10,14.86606875,-11,-10,14.86606875,-11,-10,14.86606875,-12,-10,15.62049935,-12,-11,16.2788206,-13,-10,16.40121947,-14,-11,17.80449381,-14,-11,17.80449381,-14,-11,17.80449381,-15,-12,19.20937271,-15,-12,19.20937271,-15,-12,19.20937271,-15,-13,19.84943324,-15,-13,19.84943324,-15,-14,20.51828453,-15,-14,20.51828453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97694,1,37,80,88.141931,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,-5,20.61552813,20,-4,20.39607805,22,-4,22.36067977,23,-3,23.19482701,24,-2,24.08318916,23,-1,23.02172887,24,0,24,24,1,24.0208243,23,2,23.08679276,23,4,23.34523506,23,4,23.34523506,21,4,21.37755833,20,5,20.61552813,19,5,19.6468827,17,4,17.4642492,17,4,17.4642492,16,3,16.2788206,15,2,15.13274595,14,1,14.03566885,14,0,14,14,-1,14.03566885,14,-2,14.14213562,14,-3,14.31782106,14,-5,14.86606875,14,-5,14.86606875,15,-6,16.15549442,0,0,0,14,-8,16.1245155,15,-8,17,15,-9,17.49285568,14,-10,17.20465053,14,-10,17.20465053,15,-11,18.60107524,15,-11,18.60107524,16,-12,20,15,-12,19.20937271,16,-13,20.61552813,16,-14,21.26029163,16,-14,21.26029163,16,-15,21.9317122,17,-15,22.6715681,17,-16,23.34523506,18,-17,24.75883681,18,-18,25.45584412,18,-18,25.45584412,19,-18,26.17250466,19,-19,26.87005769,20,-19,27.58622845,20,-19,27.58622845,21,-19,28.31960452,21,-20,29,21,-19,28.31960452,22,-19,29.06888371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9833,1,37,80,88.141931,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-21,7,22.13594362,-21,7,22.13594362,-22,6,22.8035085,-22,5,22.56102835,-24,5,24.51530134,-23,4,23.34523506,-24,1,24.0208243,-24,0,24,-25,-1,25.01999201,-23,0,23,-23,-1,23.02172887,-22,-2,22.09072203,-21,-2,21.09502311,-20,-3,20.22374842,-19,-3,19.23538406,-18,-2,18.11077028,-17,-2,17.11724277,-16,-1,16.03121954,-15,0,15,-15,1,15.03329638,-14,2,14.14213562,-15,3,15.29705854,-14,4,14.56021978,-14,6,15.23154621,-15,6,16.15549442,-15,7,16.55294536,0,0,0,-15,8,17,-15,9,17.49285568,-14,10,17.20465053,-14,11,17.80449381,-14,11,17.80449381,-14,12,18.43908891,-15,13,19.84943324,-16,11,19.41648784,-12,13,17.69180601,-13,8,15.26433752,-16,13,20.61552813,-16,15,21.9317122,-16,17,23.34523506,-16,17,23.34523506,-15,17,22.6715681,-16,17,23.34523506,-15,20,25,-18,18,25.45584412,-17,20,26.2488095,-18,20,26.90724809,-18,19,26.17250466,-18,21,27.65863337,-20,21,29,-20,22,29.73213749,-20,20,28.28427125,-20,20,28.28427125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9895,1,84,-64,105.6030303,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-11,6,12.52996409,-12,6,13.41640786,-12,7,13.89244399,-14,5,14.86606875,-12,6,13.41640786,-14,4,14.56021978,-13,4,13.60147051,-14,3,14.31782106,-14,4,14.56021978,-14,2,14.14213562,-14,2,14.14213562,-13,2,13.15294644,-14,2,14.14213562,-12,1,12.04159458,-13,1,13.03840481,-10,2,10.19803903,-10,2,10.19803903,-9,1,9.055385138,-10,2,10.19803903,-9,2,9.219544457,-9,3,9.486832981,-8,3,8.544003745,-9,4,9.848857802,-8,5,9.433981132,-8,6,10,-8,6,10,0,0,0,-8,6,10,-8,7,10.63014581,-8,8,11.3137085,-7,8,10.63014581,-7,8,10.63014581,-8,9,12.04159458,-8,7,10.63014581,-5,12,13,-11,5,12.08304597,-7,7,9.899494937,-5,11,12.08304597,-6,12,13.41640786,-8,11,13.60147051,-8,11,13.60147051,-8,12,14.4222051,-8,12,14.4222051,-7,14,15.65247584,-8,13,15.26433752,-8,13,15.26433752,-8,13,15.26433752,-8,14,16.1245155,-9,15,17.49285568,-9,14,16.64331698,-8,14,16.1245155,-10,14,17.20465053,-9,15,17.49285568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
