real_timestamp,TXSpot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
0.635934,1,28,-64,1,0,0,0,0,0,0,0,0,0,-10,-4,-10,-4,-10,-4,-9,-4,-8,-4,-8,-5,-8,-4,-8,-4,-7,-5,-7,-4,-7,-4,-6,-3,-7,-4,-7,-3,-7,-2,-7,-3,-7,-3,-6,-2,-7,-2,-7,-2,-8,-2,-8,-2,-7,-1,-8,-2,-8,-1,-9,-2,0,0,-9,-1,-9,-2,-9,-1,-9,-1,-10,-1,-10,-1,-10,-2,-11,-1,-11,-1,-11,-1,-12,0,-12,-1,-12,-1,-13,0,-13,-1,-13,-1,-13,-1,-13,-1,-14,0,-14,-1,-13,-2,-14,-1,-15,-1,-15,-2,-15,-2,-15,-1,0,0,0,0,0,0,0,0,0,0
0.642724,1,-99,-48,9,0,0,0,0,0,0,0,0,0,12,15,10,15,10,15,9,15,9,15,8,15,7,15,7,14,6,14,6,13,6,13,6,12,6,12,6,11,6,11,6,11,7,11,6,10,7,10,8,11,8,10,9,10,9,10,10,10,11,11,11,12,0,0,11,12,12,12,12,12,12,11,12,12,13,12,13,13,13,13,14,13,15,13,15,14,15,13,16,14,17,14,17,15,18,16,18,15,18,16,19,17,19,18,19,18,19,18,19,19,20,19,19,19,19,20,0,0,0,0,0,0,0,0,0,0
0.656791,1,-121,112,8,0,0,0,0,0,0,0,0,0,-21,6,-21,5,-21,4,-21,3,-20,2,-20,2,-19,2,-18,0,-18,0,-17,0,-18,0,-18,0,-17,1,-16,1,-15,1,-15,2,-15,1,-14,2,-15,3,-16,3,-16,4,-16,4,-15,5,-16,5,-17,5,-18,6,0,0,-19,6,-18,6,-19,6,-19,7,-19,8,-21,6,-20,6,-21,7,-20,7,-22,7,-22,9,-22,9,-22,10,-24,9,-24,10,-25,9,-26,10,-27,10,-27,9,-28,9,-28,8,-33,10,-32,8,-32,8,-35,7,-25,9,0,0,0,0,0,0,0,0,0,0
0.668472,1,-122,-31,23,0,0,0,0,0,0,0,0,0,-1,-19,0,-19,0,-18,1,-18,1,-17,2,-16,2,-16,3,-16,2,-15,3,-14,1,-15,2,-14,2,-14,1,-13,1,-13,1,-13,0,-13,0,-13,-1,-13,-1,-14,-2,-14,-2,-14,-2,-14,-3,-15,-3,-15,-3,-16,0,0,-3,-16,-4,-16,-4,-17,-4,-16,-4,-17,-5,-18,-5,-18,-5,-18,-5,-18,-5,-19,-7,-19,-6,-19,-7,-19,-7,-20,-7,-21,-7,-21,-8,-22,-8,-23,-7,-24,-7,-23,-7,-24,-7,-24,-7,-25,-8,-26,-8,-25,-7,-26,0,0,0,0,0,0,0,0,0,0
0.691587,1,-122,-31,23,0,0,0,0,0,0,0,0,0,13,2,13,2,13,2,12,3,13,3,12,3,11,4,11,3,11,3,11,4,10,3,10,3,9,3,10,3,9,4,10,2,9,2,8,2,10,2,10,1,10,2,11,0,11,1,11,1,11,1,11,1,0,0,12,1,13,0,12,0,13,-1,13,0,14,0,13,0,15,0,14,0,15,0,15,-1,16,0,15,0,16,0,17,0,16,-1,18,0,18,0,18,0,18,0,19,1,19,1,20,2,20,1,20,1,19,2,0,0,0,0,0,0,0,0,0,0
0.711848,1,82,-96,4,0,0,0,0,0,0,0,0,0,-14,6,-13,6,-14,6,-13,5,-14,5,-13,5,-13,4,-12,4,-13,3,-12,4,-11,4,-11,4,-11,4,-11,4,-11,4,-11,4,-10,4,-10,4,-10,5,-10,5,-10,6,-10,5,-10,6,-10,7,-11,6,-11,7,0,0,-11,7,-12,7,-12,8,-12,7,-11,8,-12,8,-12,9,-12,9,-12,9,-12,10,-12,10,-12,11,-13,11,-14,11,-14,10,-14,11,-14,12,-14,12,-15,12,-15,12,-16,13,-16,12,-16,12,-16,13,-17,12,-18,12,0,0,0,0,0,0,0,0,0,0
1.02665,1,82,-96,4,0,0,0,0,0,0,0,0,0,-9,9,-9,8,-8,8,-7,6,-6,5,-5,5,-5,5,-4,4,-3,3,-2,3,-1,3,-1,3,1,2,2,3,3,3,4,4,4,4,6,5,7,5,8,6,7,7,8,7,9,8,9,10,9,9,9,10,0,0,9,11,9,12,10,12,10,12,10,12,10,12,12,14,12,14,12,13,13,14,14,15,14,15,14,16,16,17,17,17,17,17,18,19,18,19,19,20,20,20,20,21,20,21,21,23,21,24,20,24,21,24,0,0,0,0,0,0,0,0,0,0
1.1667,1,82,-96,4,0,0,0,0,0,0,0,0,0,7,-15,7,-13,7,-13,8,-12,7,-12,8,-12,8,-11,8,-9,7,-11,7,-10,6,-9,7,-10,6,-11,5,-10,5,-10,4,-10,4,-10,4,-10,5,-11,6,-10,5,-12,5,-12,5,-12,4,-12,5,-14,6,-13,0,0,6,-13,6,-13,7,-13,5,-13,6,-14,7,-13,6,-13,5,-14,6,-14,6,-14,6,-15,5,-15,5,-15,6,-16,6,-16,6,-17,6,-17,6,-17,7,-17,7,-18,7,-18,7,-18,8,-19,8,-19,9,-19,9,-19,0,0,0,0,0,0,0,0,0,0
1.66886,1,82,-96,4,0,0,0,0,0,0,0,0,0,16,-13,20,-14,19,-15,21,-15,22,-15,24,-14,25,-14,26,-12,27,-15,26,-12,28,-14,28,-15,29,-14,29,-14,30,-11,26,-12,28,-11,24,-10,25,-8,23,-8,23,-5,19,-7,18,-7,18,-3,14,-7,12,-7,0,0,9,-4,6,-5,7,-1,5,-4,3,-4,1,0,1,-1,-1,1,-3,1,-1,1,-5,2,-5,5,-7,7,-7,9,-6,10,-9,11,-7,13,-8,15,-9,16,-9,17,-9,20,-9,20,-8,22,-8,24,-6,24,-6,26,0,0,0,0,0,0,0,0,0,0
2.02464,1,82,-96,4,0,0,0,0,0,0,0,0,0,23,-5,22,-3,22,-2,22,-2,21,-1,20,0,19,1,18,1,19,2,18,2,16,2,16,3,16,3,15,3,14,2,13,2,12,2,11,2,11,1,11,1,11,0,11,-1,10,-1,10,-2,10,-2,10,-3,0,0,9,-4,9,-4,9,-5,8,-5,8,-5,8,-6,7,-7,7,-8,7,-8,6,-9,6,-9,6,-10,6,-10,6,-12,6,-12,6,-13,6,-14,7,-15,7,-15,7,-16,7,-16,7,-17,8,-17,8,-17,9,-18,9,-18,0,0,0,0,0,0,0,0,0,0
