type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1543649,0,28,0,0,1.72628,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -4 21 -5 22 -5 22 -6 22 -6 21 -7 21 -7 21 -8 21 -8 20 -8 20 -8 21 -8 21 -8 20 -8 20 -8 19 -9 20 -9 18 -8 17 -9 18 -8 18 -9 17 -8 17 -8 17 -7 18 -7 18 -7 18 0 0 -6 17 -6 17 -6 17 -6 16 -6 16 -5 16 -5 16 -5 16 -4 15 -4 16 -3 16 -3 15 -3 15 -3 16 -3 15 -3 15 -2 15 -2 15 -2 15 -2 14 -2 14 -2 13 -1 14 -1 13 -1 13 -1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1546552,0,157,0,0,1.73284,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 19 -12 19 -11 20 -11 20 -11 20 -10 20 -9 20 -9 21 -8 20 -8 20 -8 20 -9 20 -8 20 -8 20 -7 19 -7 20 -8 19 -7 18 -7 18 -7 19 -6 18 -6 18 -7 17 -6 18 -8 17 -8 17 -8 0 0 16 -8 16 -8 16 -8 15 -8 15 -8 15 -8 15 -9 14 -9 13 -8 14 -9 14 -9 13 -9 12 -9 13 -9 13 -9 12 -10 12 -10 12 -10 12 -9 11 -9 11 -9 11 -10 10 -9 10 -10 9 -9 9 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1569262,0,135,0,0,1.75181,128,[-121 112 8 0 0 0 0 0 0 0 0 0 24 6 24 7 23 7 24 8 23 8 23 9 22 9 21 10 21 10 21 10 22 10 21 10 21 10 20 10 20 11 20 10 20 11 18 10 19 11 19 11 18 10 18 10 17 9 18 9 18 9 19 9 0 0 18 8 18 8 18 8 17 7 17 7 17 7 17 7 17 7 16 6 16 6 17 6 16 6 16 5 17 5 16 5 17 5 16 4 16 4 16 5 15 4 15 4 15 3 15 3 15 3 14 3 14 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1580428,0,390,0,0,1.76281,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 25 -5 25 -4 26 -4 26 -4 26 -3 25 -2 25 -2 25 -1 25 -1 25 -1 25 0 25 0 25 0 25 0 25 1 24 0 24 0 23 1 23 1 24 0 23 0 23 0 22 1 22 0 22 0 22 0 0 0 22 0 21 -1 21 -1 20 -2 20 -2 20 -2 20 -3 19 -3 19 -2 18 -3 18 -4 18 -4 18 -4 18 -4 18 -4 17 -5 17 -5 17 -5 17 -5 16 -5 16 -5 16 -6 15 -6 15 -7 14 -6 14 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1605593,0,390,0,0,1.78769,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -7 21 -8 22 -9 22 -9 22 -10 21 -10 21 -11 21 -11 20 -11 20 -12 20 -12 19 -12 19 -12 20 -12 19 -12 19 -12 18 -12 18 -12 17 -12 18 -12 18 -12 18 -12 17 -11 17 -11 17 -11 17 -11 17 0 0 -10 17 -10 16 -10 17 -9 16 -9 16 -9 16 -8 16 -8 16 -8 16 -7 15 -7 16 -7 16 -6 16 -6 16 -6 15 -6 15 -5 15 -5 15 -5 15 -4 14 -4 14 -4 14 -3 14 -3 14 -4 13 -3 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-44,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1629960,0,82,0,0,1.81207,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -23 -7 -24 -6 -24 -6 -25 -5 -25 -4 -24 -4 -24 -4 -24 -3 -24 -3 -25 -3 -24 -2 -24 -3 -25 -2 -24 -2 -25 -2 -23 -2 -24 -1 -23 -2 -24 -2 -23 -2 -23 -2 -23 -2 -22 -2 -22 -3 -22 -3 -22 0 0 -3 -21 -3 -21 -3 -21 -4 -20 -4 -20 -4 -20 -5 -20 -5 -19 -5 -19 -5 -18 -6 -18 -6 -18 -6 -18 -7 -18 -6 -17 -7 -17 -7 -17 -7 -17 -7 -16 -7 -16 -7 -16 -7 -15 -7 -15 -7 -14 -7 -14 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2079062,0,82,0,0,2.26128,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 -16 -20 -17 -20 -18 -20 -18 -20 -19 -18 -18 -17 -19 -17 -20 -17 -20 -17 -20 -17 -20 -17 -19 -17 -20 -17 -20 -16 -20 -16 -20 -15 -19 -15 -19 -15 -19 -15 -19 -15 -19 -15 -19 -14 -19 -15 -18 -15 -18 -15 -17 0 0 -15 -17 -15 -17 -15 -16 -15 -15 -15 -15 -14 -15 -14 -15 -15 -15 -14 -14 -15 -13 -15 -13 -16 -13 -15 -12 -15 -12 -15 -12 -15 -11 -15 -11 -15 -11 -15 -11 -14 -11 -15 -10 -14 -10 -15 -9 -15 -9 -14 -8 -14 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2110788,0,82,0,0,2.29288,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 22 -5 22 -6 23 -6 22 -6 22 -7 21 -7 22 -8 21 -8 21 -8 21 -9 21 -9 20 -9 21 -9 21 -9 20 -9 20 -9 19 -9 19 -8 19 -8 20 -8 19 -8 19 -8 19 -7 19 -7 19 -7 18 0 0 -6 18 -6 19 -6 18 -5 18 -5 18 -5 18 -4 18 -4 17 -4 17 -3 17 -3 17 -3 17 -2 17 -2 17 -2 17 -2 16 -1 16 -1 16 -1 16 -1 15 -1 15 0 15 0 15 0 15 0 14 0 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2579588,0,82,0,0,2.7618,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 25 -9 25 -9 25 -10 25 -10 24 -11 24 -11 24 -12 23 -12 23 -12 23 -13 23 -13 22 -13 22 -13 22 -13 22 -13 21 -13 21 -13 20 -13 21 -13 21 -12 20 -12 20 -12 19 -12 20 -12 20 -11 20 0 0 -11 19 -10 19 -10 19 -9 18 -10 19 -9 19 -9 18 -8 18 -8 17 -8 17 -7 18 -7 18 -6 17 -6 18 -6 17 -6 17 -5 17 -5 17 -5 17 -4 16 -4 16 -4 16 -3 15 -3 15 -3 14 -3 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2581610,0,82,0,0,2.76817,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 -6 -20 -7 -20 -7 -20 -7 -20 -8 -19 -9 -19 -9 -19 -10 -19 -9 -18 -10 -19 -10 -18 -10 -18 -10 -17 -10 -17 -10 -18 -9 -17 -10 -16 -9 -16 -10 -16 -10 -16 -10 -16 -9 -15 -9 -16 -9 -16 -9 -16 -9 0 0 -15 -8 -15 -8 -15 -7 -15 -7 -15 -7 -15 -6 -15 -6 -14 -6 -14 -5 -15 -6 -15 -5 -14 -5 -13 -4 -14 -5 -14 -4 -14 -4 -14 -4 -14 -4 -14 -3 -13 -4 -13 -4 -13 -3 -13 -3 -13 -3 -12 -3 -12 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2631180,0,82,0,0,2.81328,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -19 14 -20 14 -19 15 -19 15 -18 16 -18 16 -17 16 -17 16 -17 17 -16 17 -16 17 -16 17 -16 17 -15 17 -15 16 -15 17 -15 16 -14 16 -15 16 -14 16 -14 16 -14 15 -14 15 -14 15 -14 15 -14 0 0 14 -14 13 -14 13 -14 12 -13 12 -14 12 -14 12 -14 11 -14 11 -14 10 -14 10 -14 10 -14 10 -14 9 -14 8 -14 9 -14 8 -14 8 -14 8 -14 7 -13 7 -13 7 -13 6 -13 6 -13 5 -13 6 -12 0 0 0 0 0 0 0 0 0 0 ]
